disease_id	name
DIS010817	1924 Los Angeles pneumonic plague outbreak
DIS011029	Shark attack
DIS011114	Primary mediastinal (thymic) large B cell lymphoma
DIS011115	Brief resolved unexplained event
DIS011116	Peroneal nerve paralysis
DIS011117	Vaccine adverse event
DIS011118	Odontogenic keratocyst
DIS011119	Retroperitoneal bleeding
DIS011120	Wilms's tumor
DIS011121	Linburg–Comstock variation
DIS011122	Tooth wear
DIS011123	Adenomatoid odontogenic tumor
DIS011124	Canalicular adenoma
DIS011125	Delayed hemolytic transfusion reaction
DIS011126	Dopamine-responsive dystonia
DIS011127	Primary familial brain calcification
DIS011128	Tuberculosis verrucosa cutis
DIS011129	Ectopic kidney
DIS011130	Lightheadedness
DIS011131	Esophageal rupture
DIS011132	Egg drop syndrome
DIS011133	Gourmand syndrome
DIS011134	Nasopalatine duct cyst
DIS011135	Clonus
DIS011136	Hypovolemic shock
DIS011137	Goose bumps
DIS011138	Albinism in humans
DIS011139	Failure to thrive
DIS011140	Hyperthermia
DIS011141	Specific phobia
DIS011142	Human orthopneumovirus
DIS011143	Ketonuria
DIS011144	Coronary vasospasm
DIS011145	Confusion
DIS011146	Weber's syndrome
DIS011147	Fatigue
DIS011148	Esophageal dysphagia
DIS011149	Oropharyngeal dysphagia
DIS011150	Niigata Minamata disease
DIS011151	Cytomegalovirus
DIS011152	BK virus
DIS011153	Homonymous hemianopsia
DIS011154	Melanosis
DIS011155	Trance
DIS011156	Tetrasomy 9p
DIS011157	Pain
DIS011158	Acidosis
DIS011159	Overgeneral autobiographical memory
DIS011160	Hürthle cell adenoma
DIS011161	Achondroplasia in children
DIS011162	Hepatolithiasis
DIS011163	Chronic active EBV infection
DIS011164	Eschar
DIS011165	Potomania
DIS011166	Glycogenic acanthosis
DIS011167	Human betaherpesvirus 5
DIS011169	Focal cortical dysplasia
DIS011170	Plasma cell dyscrasias
DIS011171	Megacystis (fetal)
DIS011172	Condylar hypoplasia
DIS011173	Spinal epidural hematoma
DIS011174	Photosensitive epilepsy
DIS011175	Anxiety
DIS011176	Human parainfluenza viruses
DIS011177	Pontiac fever
DIS011178	Erythroid dysplasia
DIS011179	Perifollicular mucinosis
DIS011180	Korsakoff syndrome
DIS011181	Tricho–rhino–phalangeal syndrome type 2
DIS011182	Depression (mood)
DIS011183	Harris platelet syndrome
DIS011184	Dental fear
DIS011185	Fear of children
DIS011186	Psychological pain
DIS011187	Complex post-traumatic stress disorder
DIS011188	Post-acute-withdrawal syndrome
DIS011189	Caffeinism
DIS011190	Central hypoventilation syndrome
DIS011191	Abdominal distension
DIS011192	Globus pharyngis
DIS011193	Chills
DIS011194	Peripheral edema
DIS011195	Dysdiadochokinesia
DIS011196	Staphylococcus aureus
DIS011197	Holiday heart syndrome
DIS011198	Keshan disease
DIS011199	List of cancer types
DIS011200	Mydriasis
DIS011201	Irritability
DIS011202	Pseudoachondroplasia
DIS011203	Vancomycin-resistant Staphylococcus aureus
DIS011204	Saddle nose
DIS011205	Health effects of pesticides
DIS011206	Sinus bradycardia
DIS011207	Rhonchi
DIS011208	Bloating
DIS011209	Tonsil carcinoma
DIS011210	Metabolic Diseases
DIS011211	Encephalitis, California
DIS011212	Lymphohistiocytosis, Hemophagocytic
DIS011213	Pneumonia, Aspiration
DIS011214	Encephalitis, Tick-Borne
DIS011215	Adenomatous Polyposis Coli
DIS011216	Keratoderma, Palmoplantar, Diffuse
DIS011217	Pemphigus, Benign Familial
DIS011218	Insomnia, Fatal Familial
DIS011219	Andersen Syndrome
DIS011220	Glycogen Storage Disease Type IIb
DIS011221	Usher Syndromes
DIS011222	Lipodystrophy, Familial Partial
DIS011223	Multiple Sulfatase Deficiency Disease
DIS011224	Refsum Disease, Infantile
DIS011225	Familial Hypophosphatemic Rickets
DIS011226	Leukokeratosis, Hereditary Mucosal
DIS011227	Leukemia, Myelomonocytic, Juvenile
DIS011228	Antley-Bixler Syndrome Phenotype
DIS011229	Exanthema
DIS011230	Leukemia-Lymphoma, Adult T-Cell
DIS011231	Inflammatory Bowel Diseases
DIS011232	Schistosomiasis japonica
DIS011233	Paranasal Sinus Neoplasms
DIS011234	Endocardial Cushion Defects
DIS011235	Neoplasms by Site
DIS011236	Cardiomyopathies
DIS011237	Pharyngeal Neoplasms
DIS011238	Tobacco Use Disorder
DIS011239	Lymphoma, Mantle-Cell
DIS011240	Myotonic Disorders
DIS011241	Multiple Sclerosis, Chronic Progressive
DIS011242	Dystonia Musculorum Deformans
DIS011243	Dystonic Disorders
DIS011244	Sleep Apnea Syndromes
DIS011245	Carcinoma, Squamous Cell
DIS011246	Lymphoma, Follicular
DIS011247	X-Linked Combined Immunodeficiency Diseases
DIS011248	IgA Deficiency
DIS011249	Lymphoma, T-Cell, Cutaneous
DIS011250	Soft Tissue Neoplasms
DIS011251	Spinal Muscular Atrophies of Childhood
DIS011252	Bulbo-Spinal Atrophy, X-Linked
DIS011253	Myoclonic Epilepsies, Progressive
DIS011254	Colitis, Ischemic
DIS011255	Colitis, Microscopic
DIS011256	Colitis, Collagenous
DIS011257	Colitis, Lymphocytic
DIS011258	Enterocolitis, Pseudomembranous
DIS011259	Crohn Disease
DIS011260	Diffuse Cerebral Sclerosis of Schilder
DIS011261	Blepharoptosis
DIS011262	Gallbladder Diseases
DIS011263	Hemoglobinuria, Paroxysmal
DIS011264	Leukoplakia, Hairy
DIS011265	Orofaciodigital Syndromes
DIS011266	Leukemia, Promyelocytic, Acute
DIS011267	Heart Arrest
DIS011268	Hernia, Umbilical
DIS011269	Meningomyelocele
DIS011270	Pregnancy, Ectopic
DIS011271	Angiomatosis, Bacillary
DIS011272	Multiple Acyl Coenzyme A Dehydrogenase Deficiency
DIS011273	Classical Lissencephalies and Subcortical Band Heterotopias
DIS011274	Corneal Dystrophy, Juvenile Epithelial of Meesmann
DIS011275	Zika Virus Infection
DIS011276	Bland White Garland Syndrome
DIS011277	Tuberculosis, Cardiovascular
DIS011278	von Willebrand Disease, Type 1
DIS011279	von Willebrand Disease, Type 2
DIS011280	Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative
DIS011281	Intracranial Arteriovenous Malformations
DIS011282	Bone Diseases
DIS011283	Keratitis, Dendritic
DIS011284	Meningitis, Cryptococcal
DIS011285	Candidiasis, Cutaneous
DIS011286	Meningitis, Meningococcal
DIS011287	Meningitis, Haemophilus
DIS011288	Polycystic Kidney, Autosomal Dominant
DIS011289	von Willebrand Disease, Type 3
DIS011290	Hearing Loss, Central
DIS011291	Duodenal Neoplasms
DIS011292	Lung, Hyperlucent
DIS011293	Trypanosomiasis, African
DIS011294	Corneal Diseases
DIS011295	Dry Eye Syndromes
DIS011296	Intestinal Neoplasms
DIS011297	Ileal Neoplasms
DIS011298	Pinta
DIS011299	Leprosy, Borderline
DIS011300	Ocular Motility Disorders
DIS011301	Leprosy, Tuberculoid
DIS011302	Prostatic Neoplasms
DIS011303	Paralyses, Familial Periodic
DIS011304	Parotid Diseases
DIS011305	Meningitis, Viral
DIS011306	Caplan Syndrome
DIS011307	Fibrocystic Breast Disease
DIS011308	Leukemia, Lymphoid
DIS011309	Brachial Plexus Neuritis
DIS011310	Leukemia, Prolymphocytic
DIS011311	Osteoarthropathy, Secondary Hypertrophic
DIS011312	Bacterial Infections
DIS011313	Leukemia, Lymphocytic, Chronic, B-Cell
DIS011314	Hirschsprung Disease
DIS011315	Anus, Imperforate
DIS011316	Pneumonia, Viral
DIS011317	Stomach Neoplasms
DIS011318	Calcium Metabolism Disorders
DIS011319	Leukodystrophy, Metachromatic
DIS011320	Leukodystrophy, Globoid Cell
DIS011321	Tuberculosis, Pleural
DIS011322	Tic Disorders
DIS011323	Sprue, Tropical
DIS011324	Protein-Losing Enteropathies
DIS011325	Microphthalmos
DIS011326	Nephritis, Interstitial
DIS011327	Alzheimer Disease
DIS011328	Glaucoma, Open-Angle
DIS011329	Hypertension, Renal
DIS011330	Renal Insufficiency
DIS011331	Hypertension, Portal
DIS011332	Purpura, Thrombotic Thrombocytopenic
DIS011333	Menopause, Premature
DIS011334	Stomach Ulcer
DIS011335	Sadism
DIS011336	Hypertension, Malignant
DIS011337	Encephalomyelitis, Eastern Equine
DIS011338	Encephalomyelitis, Western Equine
DIS011339	Encephalitis, Japanese
DIS011340	Encephalitis, St. Louis
DIS011341	Masochism
DIS011342	Oculomotor Nerve Diseases
DIS011343	Abducens Nerve Diseases
DIS011344	Pleurodynia, Epidemic
DIS011345	Leprosy, Lepromatous
DIS011346	Spinal Dysraphism
DIS011347	Tooth Diseases
DIS011348	Anemia, Sickle Cell
DIS011349	Compulsive Personality Disorder
DIS011350	Disruptive, Impulse Control, and Conduct Disorders
DIS011351	Attention Deficit Disorder with Hyperactivity
DIS011352	Tongue Diseases
DIS011353	Cholesteatoma, Middle Ear
DIS011354	Nephrosis, Lipoid
DIS011355	Glomerulonephritis, Membranous
DIS011356	Erythroblastosis, Fetal
DIS011357	Nephritis, Hereditary
DIS011358	Leukoencephalitis, Acute Hemorrhagic
DIS011359	Lens Diseases
DIS011360	Ovarian Diseases
DIS011361	Depersonalization
DIS011362	Felty Syndrome
DIS011363	Urinary Bladder Neoplasms
DIS011364	Pasteurella Infections
DIS011365	Bartonella Infections
DIS011366	Rickettsiaceae Infections
DIS011367	Purpura, Schoenlein-Henoch
DIS011368	Bordetella Infections
DIS011369	Condylomata Acuminata
DIS011370	Parathyroid Diseases
DIS011371	Hyperparathyroidism, Primary
DIS011372	Conjunctivitis, Allergic
DIS011373	Conjunctivitis, Acute Hemorrhagic
DIS011374	Spondylarthropathies
DIS011375	Appendiceal Neoplasms
DIS011376	Anemia, Neonatal
DIS011377	Typhus, Epidemic Louse-Borne
DIS011378	Typhus, Endemic Flea-Borne
DIS011379	Phobic Disorders
DIS011380	Psychotic Disorders
DIS011381	Fusobacterium Infections
DIS011382	Pneumonia, Pneumocystis
DIS011383	Scleral Diseases
DIS011384	Urinary Bladder Calculi
DIS011385	Empyema, Subdural
DIS011386	Respiratory Distress Syndrome, Adult
DIS011387	Heart Diseases
DIS011388	Pyelonephritis, Xanthogranulomatous
DIS011389	Corynebacterium Infections
DIS011390	Pericarditis, Constrictive
DIS011391	Diabetic Neuropathies
DIS011392	Otitis Media, Suppurative
DIS011393	Feeding and Eating Disorders of Childhood
DIS011394	Tongue, Fissured
DIS011395	Meningitis, Listeria
DIS011396	Polyradiculopathy
DIS011397	Dysautonomia, Familial
DIS011398	Sweating, Gustatory
DIS011399	Meningitis, Fungal
DIS011400	Penile Neoplasms
DIS011401	Pemphigoid, Benign Mucous Membrane
DIS011402	Color Vision Defects
DIS011403	Hyperlipidemias
DIS011404	Heart Neoplasms
DIS011405	Diabetes Mellitus, Lipoatrophic
DIS011406	Diabetic Angiopathies
DIS011407	Diabetes, Gestational
DIS011408	Prediabetic State
DIS011409	Muscular Dystrophy, Oculopharyngeal
DIS011410	Distal Myopathies
DIS011411	Glycogen Storage Disease Type VII
DIS011412	Muscular Dystrophy, Duchenne
DIS011413	Muscular Dystrophies, Limb-Girdle
DIS011414	De Lange Syndrome
DIS011415	Muscular Dystrophy, Emery-Dreifuss
DIS011416	Muscular Dystrophy, Facioscapulohumeral
DIS011417	Anemia, Hypochromic
DIS011418	Bronchial Diseases
DIS011419	Nystagmus, Pathologic
DIS011420	Ureteral Neoplasms
DIS011421	Myopia, Degenerative
DIS011422	Blindness, Cortical
DIS011423	Pick Disease of the Brain
DIS011424	Stomatitis, Denture
DIS011425	Mononeuropathies
DIS011426	Vaginal Neoplasms
DIS011427	Peripheral Nervous System Neoplasms
DIS011428	Head and Neck Neoplasms
DIS011429	Creutzfeldt-Jakob Syndrome
DIS011430	Obesity, Morbid
DIS011431	Cardiomyopathy, Hypertrophic
DIS011432	Genital Neoplasms, Female
DIS011433	Optic Neuropathy, Ischemic
DIS011434	Ophthalmia, Sympathetic
DIS011435	Vaginal Diseases
DIS011436	Pica
DIS011437	Hemophilia A
DIS011438	Urinary Bladder, Neurogenic
DIS011439	Meningitis, Aseptic
DIS011440	Dengue
DIS011441	Severe Dengue
DIS011442	Elephantiasis, Filarial
DIS011443	Lewy Body Disease
DIS011444	Cartilage Diseases
DIS011445	Liver Cirrhosis, Biliary
DIS011446	beta-Thalassemia
DIS011447	Hemorrhagic Fever, Crimean
DIS011448	Schizophrenia, Paranoid
DIS011449	Uveomeningoencephalitic Syndrome
DIS011450	Jaundice, Chronic Idiopathic
DIS011451	Corneal Dystrophies, Hereditary
DIS011452	Infertility, Male
DIS011453	Fetishism (Psychiatric)
DIS011454	Graves Disease
DIS011455	Muscular Atrophy, Spinal
DIS011456	Epilepsy, Complex Partial
DIS011457	Dysentery, Bacillary
DIS011458	Diabetes Insipidus, Nephrogenic
DIS011459	Diabetes Insipidus, Neurogenic
DIS011460	Gambling
DIS011461	Firesetting Behavior
DIS011462	Anemia, Aplastic
DIS011463	Vulvar Neoplasms
DIS011464	Hyperparathyroidism, Secondary
DIS011465	Blood Coagulation Disorders
DIS011466	Vagus Nerve Diseases
DIS011467	Bell Palsy
DIS011468	Retinal Perforations
DIS011469	von Willebrand Diseases
DIS011470	Kidney Tubular Necrosis, Acute
DIS011471	Ophthalmoplegia, Chronic Progressive External
DIS011472	Uveitis, Posterior
DIS011473	Pyloric Stenosis, Hypertrophic
DIS011474	Vestibulocochlear Nerve Diseases
DIS011475	Neuroma, Acoustic
DIS011476	Quadriplegia
DIS011477	Telangiectasia, Hereditary Hemorrhagic
DIS011478	Chiari-Frommel Syndrome
DIS011479	Hyaline Membrane Disease
DIS011480	Intracranial Arteriosclerosis
DIS011481	Osteochondrodysplasias
DIS011482	Respiratory Syncytial Virus Infections
DIS011483	Uveitis, Intermediate
DIS011484	Choroid Neoplasms
DIS011485	Mucopolysaccharidoses
DIS011486	Mucopolysaccharidosis VII
DIS011487	Rectal Diseases
DIS011488	Huntington Disease
DIS011489	Cardiovascular Diseases
DIS011490	Neurodegenerative Diseases
DIS011491	Submandibular Gland Diseases
DIS011492	Mikulicz' Disease
DIS011493	Sialometaplasia, Necrotizing
DIS011494	Salivary Gland Calculi
DIS011495	Screw Worm Infection
DIS011496	Cardiomyopathy, Dilated
DIS011497	Cardiomyopathy, Alcoholic
DIS011498	Spherocytosis, Hereditary
DIS011499	Malaria, Vivax
DIS011500	Amnesia, Transient Global
DIS011501	Mycetoma
DIS011502	Leukomalacia, Periventricular
DIS011503	Intracranial Arterial Diseases
DIS011504	Retinal Artery Occlusion
DIS011505	Vasospasm, Intracranial
DIS011506	Glomerulosclerosis, Focal Segmental
DIS011507	Uveitis, Suppurative
DIS011508	Aspergillosis, Allergic Bronchopulmonary
DIS011509	Diverticulosis, Esophageal
DIS011510	Brain Neoplasms
DIS011511	Goiter, Nodular
DIS011512	Goiter, Endemic
DIS011513	Goiter, Substernal
DIS011514	Behcet Syndrome
DIS011515	Diverticulitis, Colonic
DIS011516	Porphyrias
DIS011517	Coproporphyria, Hereditary
DIS011518	Protoporphyria, Erythropoietic
DIS011519	Porphyria, Erythropoietic
DIS011520	Scheuermann Disease
DIS011521	Toxoplasmosis, Congenital
DIS011522	Chronobiology Disorders
DIS011523	Mucocutaneous Lymph Node Syndrome
DIS011524	Anemia, Dyserythropoietic, Congenital
DIS011525	Anemia, Pernicious
DIS011526	Anemia, Megaloblastic
DIS011527	Anemia, Diamond-Blackfan
DIS011528	Red-Cell Aplasia, Pure
DIS011529	Sarcoidosis, Pulmonary
DIS011530	Anemia, Hypoplastic, Congenital
DIS011531	Treponemal Infections
DIS011532	Jejunal Neoplasms
DIS011533	Tongue, Hairy
DIS011534	Paranasal Sinus Diseases
DIS011535	Parkinson Disease, Secondary
DIS011536	Glaucoma, Angle-Closure
DIS011537	Fetofetal Transfusion
DIS011538	Maxillary Sinus Neoplasms
DIS011539	Cholestasis, Extrahepatic
DIS011540	Foramen Ovale, Patent
DIS011541	Campylobacter Infections
DIS011542	Encephalomyelitis, Acute Disseminated
DIS011543	Acquired Hyperostosis Syndrome
DIS011544	Fluorosis, Dental
DIS011545	Lacrimal Apparatus Diseases
DIS011546	Addison Disease
DIS011547	Endometrial Neoplasms
DIS011548	Conjunctivitis, Inclusion
DIS011549	Adenovirus Infections, Human
DIS011550	Hyperlipidemia, Familial Combined
DIS011551	Hyperlipoproteinemia Type II
DIS011552	Hypoglossal Nerve Diseases
DIS011553	Sweat Gland Diseases
DIS011554	Ductus Arteriosus, Patent
DIS011555	Trochlear Nerve Diseases
DIS011556	Sexual Dysfunctions, Psychological
DIS011557	Hypolipoproteinemias
DIS011558	Polyneuropathies
DIS011559	Hypobetalipoproteinemias
DIS011560	Somatoform Disorders
DIS011561	Gingivitis, Necrotizing Ulcerative
DIS011562	Schistosomiasis haematobia
DIS011563	Urinary Bladder Neck Obstruction
DIS011564	Cystitis, Interstitial
DIS011565	Esophagitis, Peptic
DIS011566	Aortic Aneurysm, Thoracic
DIS011567	Liver Cirrhosis, Alcoholic
DIS011568	Polyendocrinopathies, Autoimmune
DIS011569	Myasthenia Gravis, Neonatal
DIS011570	Malaria, Falciparum
DIS011571	Malaria, Cerebral
DIS011572	Uveitis, Anterior
DIS011573	Facial Nerve Diseases
DIS011574	Shock, Septic
DIS011575	Lipomatosis, Multiple Symmetrical
DIS011576	Hyperlipoproteinemia Type I
DIS011577	Choroid Diseases
DIS011578	Acidosis, Renal Tubular
DIS011579	Still's Disease, Adult-Onset
DIS011580	Ureteral Diseases
DIS011581	Candidiasis, Oral
DIS011582	Epilepsy, Benign Neonatal
DIS011583	Cholangitis, Sclerosing
DIS011584	Osteoarthropathy, Primary Hypertrophic
DIS011585	Arthropathy, Neurogenic
DIS011586	Empyema, Tuberculous
DIS011587	Parkinson Disease
DIS011588	Parkinson Disease, Postencephalitic
DIS011589	Thyroiditis, Suppurative
DIS011590	Spinocerebellar Ataxias
DIS011591	Dipetalonema Infections
DIS011592	Glossopharyngeal Nerve Diseases
DIS011593	Gonadal Dysgenesis, 46,XY
DIS011594	Gonadal Dysgenesis, Mixed
DIS011595	Gonadal Dysgenesis, 46,XX
DIS011596	Paralysis, Hyperkalemic Periodic
DIS011597	Brucellosis, Bovine
DIS011598	Pemphigoid Gestationis
DIS011599	Lipoid Proteinosis of Urbach and Wiethe
DIS011600	Neuronal Ceroid-Lipofuscinoses
DIS011601	Niemann-Pick Diseases
DIS011602	Glossitis, Benign Migratory
DIS011603	Optic Nerve Diseases
DIS011604	Embolism, Cholesterol
DIS011605	Galactosemias
DIS011606	Depressive Disorder, Major
DIS011607	Myopathies, Structural, Congenital
DIS011608	Angioedemas, Hereditary
DIS011609	Olivopontocerebellar Atrophies
DIS011610	Ectodermal Dysplasia 1, Anhidrotic
DIS011611	Gingival Diseases
DIS011612	Mental Disorders
DIS011613	Cecal Neoplasms
DIS011614	Cecal Diseases
DIS011615	Panniculitis, Nodular Nonsuppurative
DIS011616	Pleural Diseases
DIS011617	Mixed Tumor, Malignant
DIS011618	Parathyroid Neoplasms
DIS011619	Immune Complex Diseases
DIS011620	Neurocognitive Disorders
DIS011621	Dermatomycoses
DIS011622	Mycoses
DIS011623	Hydrocephalus, Normal Pressure
DIS011624	Scleroderma, Limited
DIS011625	Scleroderma, Diffuse
DIS011626	Tuberculosis, Laryngeal
DIS011627	Hypertension, Renovascular
DIS011628	Depressive Disorder
DIS011629	Depression
DIS011630	Breast Neoplasms
DIS011631	Breast Neoplasms, Male
DIS011632	Neoplasms
DIS011633	Papilloma, Intraductal
DIS011634	Tuberculoma, Intracranial
DIS011635	Tuberculosis, Osteoarticular
DIS011636	Heart Septal Defects, Ventricular
DIS011637	Supratentorial Neoplasms
DIS011638	Neuroectodermal Tumor, Melanotic
DIS011639	Heart Septal Defects
DIS011640	Heart Defects, Congenital
DIS011641	Glaucoma, Neovascular
DIS011642	Ichthyosiform Erythroderma, Congenital
DIS011643	Musculoskeletal Diseases
DIS011644	Endocrine Gland Neoplasms
DIS011645	Ichthyosis, X-Linked
DIS011646	Steroid Metabolism, Inborn Errors
DIS011647	Neuroectodermal Tumors
DIS011648	Psychoses, Substance-Induced
DIS011649	Vascular Neoplasms
DIS011650	Megacolon, Toxic
DIS011651	Thyroid Neoplasms
DIS011652	Pituitary Neoplasms
DIS011653	Pancreatic Neoplasms
DIS011654	Carcinoma, Islet Cell
DIS011655	Adenoma, Islet Cell
DIS011656	Fibroma, Ossifying
DIS011657	Carcinoma, Neuroendocrine
DIS011658	Epilepsy, Absence
DIS011659	Epilepsy, Generalized
DIS011660	Menkes Kinky Hair Syndrome
DIS011661	Bone Neoplasms
DIS011662	Marijuana Abuse
DIS011663	Cholestasis, Intrahepatic
DIS011664	Jaw Neoplasms
DIS011665	Skull Neoplasms
DIS011666	Granuloma, Giant Cell
DIS011667	Sexual Dysfunction, Physiological
DIS011668	Heart Septal Defects, Atrial
DIS011669	Hepatitis, Viral, Animal
DIS011670	Sigmoid Neoplasms
DIS011671	Sigmoid Diseases
DIS011672	Histiocytoma, Malignant Fibrous
DIS011673	Sex Cord-Gonadal Stromal Tumors
DIS011674	Aortic Stenosis, Supravalvular
DIS011675	Hypothalamic Diseases
DIS011676	Dysostoses
DIS011677	Trichomonas Infections
DIS011678	Fallopian Tube Diseases
DIS011679	Fallopian Tube Neoplasms
DIS011680	Rectal Neoplasms
DIS011681	Lutembacher Syndrome
DIS011682	Giant Cell Tumors
DIS011683	Neoplasms, Connective Tissue
DIS011684	Exostoses
DIS011685	Communication Disorders
DIS011686	Rheumatic Diseases
DIS011687	Chemical and Drug Induced Liver Injury, Chronic
DIS011688	Hepatitis, Autoimmune
DIS011689	Stress Disorders, Post-Traumatic
DIS011690	Candidiasis, Chronic Mucocutaneous
DIS011691	Vulvar Diseases
DIS011692	Exostoses, Multiple Hereditary
DIS011693	Tuberculosis, Urogenital
DIS011694	Wilms Tumor
DIS011695	Eyelid Neoplasms
DIS011696	Eye Neoplasms
DIS011697	Colonic Neoplasms
DIS011698	Coagulation Protein Disorders
DIS011699	Hemorrhagic Disorders
DIS011700	Blood Coagulation Disorders, Inherited
DIS011701	Blood Platelet Disorders
DIS011702	Thrombasthenia
DIS011703	Thrombocythemia, Essential
DIS011704	Epilepsies, Partial
DIS011705	Hypoprothrombinemias
DIS011706	Afibrinogenemia
DIS011707	Hepatitis, Chronic
DIS011708	Ischemic Attack, Transient
DIS011709	Uterine Cervical Diseases
DIS011710	Candidiasis, Vulvovaginal
DIS011711	Pharyngeal Diseases
DIS011712	Gonadal Disorders
DIS011713	Genital Diseases, Female
DIS011714	Nocardia Infections
DIS011715	Lung Diseases, Obstructive
DIS011716	Mandibular Neoplasms
DIS011717	Craniofacial Dysostosis
DIS011718	Craniosynostoses
DIS011719	Iron Metabolism Disorders
DIS011720	Anemia, Myelophthisic
DIS011721	Anemia, Macrocytic
DIS011722	Postphlebitic Syndrome
DIS011723	Neuroaxonal Dystrophies
DIS011724	Gangliosidoses
DIS011725	Elliptocytosis, Hereditary
DIS011726	Multiple Sclerosis, Relapsing-Remitting
DIS011727	Pupil Disorders
DIS011728	Jaundice, Neonatal
DIS011729	Ovarian Neoplasms
DIS011730	Iris Diseases
DIS011731	Hereditary Sensory and Motor Neuropathy
DIS011732	Tracheal Neoplasms
DIS011733	Spasms, Infantile
DIS011734	Phosphorus Metabolism Disorders
DIS011735	Hereditary Sensory and Autonomic Neuropathies
DIS011736	Aortic Arch Syndromes
DIS011737	Basal Cell Nevus Syndrome
DIS011738	Carcinoma, Basal Cell
DIS011739	Testicular Diseases
DIS011740	Psychoses, Alcoholic
DIS011741	Splenic Diseases
DIS011742	Hematologic Neoplasms
DIS011743	Polyradiculoneuropathy, Chronic Inflammatory Demyelinating
DIS011744	Epilepsy, Reflex
DIS011745	Vasculitis, Central Nervous System
DIS011746	Polychondritis, Relapsing
DIS011747	Opioid-Related Disorders
DIS011748	Periapical Abscess
DIS011749	Uterine Cervicitis
DIS011750	Histiocytic Disorders, Malignant
DIS011751	Chondrodysplasia Punctata, Rhizomelic
DIS011752	Laryngeal Neoplasms
DIS011753	Papilloma, Choroid Plexus
DIS011754	Kidney Neoplasms
DIS011755	Brenner Tumor
DIS011756	Perivascular Epithelioid Cell Neoplasms
DIS011757	Solitary Fibrous Tumor, Pleural
DIS011758	Sweat Gland Neoplasms
DIS011759	Carcinoma, Transitional Cell
DIS011760	Synovitis, Pigmented Villonodular
DIS011761	Hemangioma, Capillary
