disease_id	name	url
DIS000194	Viral gastroenteritis	http://en.wikipedia.org/wiki/Viral_gastroenteritis
DIS000195	Immunogenicity	http://en.wikipedia.org/wiki/Immunogenicity
DIS000196	Nitrogen narcosis	http://en.wikipedia.org/wiki/Nitrogen_narcosis
DIS000197	Insult (medical)	http://en.wikipedia.org/wiki/Insult_(medical)
DIS000198	PP (complexity)	http://en.wikipedia.org/wiki/PP_(complexity)
DIS000199	Imaginary friend	http://en.wikipedia.org/wiki/Imaginary_friend
DIS000200	Movement paradox	http://en.wikipedia.org/wiki/Movement_paradox
DIS000201	Onlap	http://en.wikipedia.org/wiki/Onlap
DIS000202	Humidity	http://en.wikipedia.org/wiki/Humidity
DIS000203	Capture effect	http://en.wikipedia.org/wiki/Capture_effect
DIS000204	Conformal map	http://en.wikipedia.org/wiki/Conformal_map
DIS000205	Mediation function	http://en.wikipedia.org/wiki/Mediation_function
DIS000206	Glassy cell carcinoma of the cervix	http://en.wikipedia.org/wiki/Glassy_cell_carcinoma_of_the_cervix
DIS000207	Tycoon's cap	http://en.wikipedia.org/wiki/Tycoon's_cap
DIS000208	Tebibit	http://en.wikipedia.org/wiki/Tebibit
DIS000209	Bronchoconstriction	http://en.wikipedia.org/wiki/Bronchoconstriction
DIS000210	Localized granuloma annulare	http://en.wikipedia.org/wiki/Localized_granuloma_annulare
DIS000211	Mass effect (medicine)	http://en.wikipedia.org/wiki/Mass_effect_(medicine)
DIS000212	Epistemic modal logic	http://en.wikipedia.org/wiki/Epistemic_modal_logic
DIS000213	Acute exacerbation of chronic obstructive pulmonary disease	http://en.wikipedia.org/wiki/Acute_exacerbation_of_chronic_obstructive_pulmonary_disease
DIS000214	Hematopoietic ulcer	http://en.wikipedia.org/wiki/Hematopoietic_ulcer
DIS000215	Abnormal return	http://en.wikipedia.org/wiki/Abnormal_return
DIS000216	Centrofacial lentiginosis	http://en.wikipedia.org/wiki/Centrofacial_lentiginosis
DIS000217	Skraup reaction	http://en.wikipedia.org/wiki/Skraup_reaction
DIS000218	Dakin oxidation	http://en.wikipedia.org/wiki/Dakin_oxidation
DIS000219	Bronchogenic cyst	http://en.wikipedia.org/wiki/Bronchogenic_cyst
DIS000220	Adenoma sebaceum	http://en.wikipedia.org/wiki/Adenoma_sebaceum
DIS000221	Penn effect	http://en.wikipedia.org/wiki/Penn_effect
DIS000222	Allee effect	http://en.wikipedia.org/wiki/Allee_effect
DIS000223	Pancreatic acinar metaplasia	http://en.wikipedia.org/wiki/Pancreatic_acinar_metaplasia
DIS000224	Sole (foot)	http://en.wikipedia.org/wiki/Sole_(foot)
DIS000225	Withering abalone syndrome	http://en.wikipedia.org/wiki/Withering_abalone_syndrome
DIS000226	Rabies in animals	http://en.wikipedia.org/wiki/Rabies_in_animals
DIS000227	Fianchetto	http://en.wikipedia.org/wiki/Fianchetto
DIS000228	Hot start	http://en.wikipedia.org/wiki/Hot_start
DIS000229	HIV superinfection	http://en.wikipedia.org/wiki/HIV_superinfection
DIS000230	Primary immunodeficiency	http://en.wikipedia.org/wiki/Primary_immunodeficiency
DIS000231	Iterator pattern	http://en.wikipedia.org/wiki/Iterator_pattern
DIS000232	Larsen syndrome	http://en.wikipedia.org/wiki/Larsen_syndrome
DIS000233	Solar purpura	http://en.wikipedia.org/wiki/Solar_purpura
DIS000234	New Public Administration	http://en.wikipedia.org/wiki/New_Public_Administration
DIS000235	Downstep	http://en.wikipedia.org/wiki/Downstep
DIS000236	Electrical treeing	http://en.wikipedia.org/wiki/Electrical_treeing
DIS000237	Fenite	http://en.wikipedia.org/wiki/Fenite
DIS000238	Pascal Photocoagulator	http://en.wikipedia.org/wiki/Pascal_Photocoagulator
DIS000239	Esophageal stent	http://en.wikipedia.org/wiki/Esophageal_stent
DIS000240	Drone (music)	http://en.wikipedia.org/wiki/Drone_(music)
DIS000241	Mercury granuloma	http://en.wikipedia.org/wiki/Mercury_granuloma
DIS000242	Fin rot	http://en.wikipedia.org/wiki/Fin_rot
DIS000243	Property damage	http://en.wikipedia.org/wiki/Property_damage
DIS000244	Adam's apple	http://en.wikipedia.org/wiki/Adam's_apple
DIS000245	Polycrates complex	http://en.wikipedia.org/wiki/Polycrates_complex
DIS000246	Protectobots	http://en.wikipedia.org/wiki/Protectobots
DIS000247	Desmoplastic melanoma	http://en.wikipedia.org/wiki/Desmoplastic_melanoma
DIS000248	Erythroid dysplasia	http://en.wikipedia.org/wiki/Erythroid_dysplasia
DIS000249	Stendhal syndrome	http://en.wikipedia.org/wiki/Stendhal_syndrome
DIS000250	Defensive war	http://en.wikipedia.org/wiki/Defensive_war
DIS000251	Polyamorphism	http://en.wikipedia.org/wiki/Polyamorphism
DIS000252	Gender disparities in health	http://en.wikipedia.org/wiki/Gender_disparities_in_health
DIS000253	Publish–subscribe pattern	http://en.wikipedia.org/wiki/Publish–subscribe_pattern
DIS000254	Disaster convergence	http://en.wikipedia.org/wiki/Disaster_convergence
DIS000255	Infectious pancreatic necrosis	http://en.wikipedia.org/wiki/Infectious_pancreatic_necrosis
DIS000256	Change blindness	http://en.wikipedia.org/wiki/Change_blindness
DIS000257	Influenza A virus subtype H1N1	http://en.wikipedia.org/wiki/Influenza_A_virus_subtype_H1N1
DIS000258	Rain of animals	http://en.wikipedia.org/wiki/Rain_of_animals
DIS000259	Oculomucocutaneous syndrome	http://en.wikipedia.org/wiki/Oculomucocutaneous_syndrome
DIS000260	Factory (object-oriented programming)	http://en.wikipedia.org/wiki/Factory_(object-oriented_programming)
DIS000261	Kendo Kata	http://en.wikipedia.org/wiki/Kendo_Kata
DIS000262	Platyspondylic lethal skeletal dysplasia, Torrance type	http://en.wikipedia.org/wiki/Platyspondylic_lethal_skeletal_dysplasia,_Torrance_type
DIS000263	Ufufuyane	http://en.wikipedia.org/wiki/Ufufuyane
DIS000264	Impakt Festival	http://en.wikipedia.org/wiki/Impakt_Festival
DIS000265	Prostitution in Eritrea	http://en.wikipedia.org/wiki/Prostitution_in_Eritrea
DIS000266	Clave (rhythm)	http://en.wikipedia.org/wiki/Clave_(rhythm)
DIS000267	Hunter Valley cannabis infestation	http://en.wikipedia.org/wiki/Hunter_Valley_cannabis_infestation
DIS000268	Sialadenitis	http://en.wikipedia.org/wiki/Sialadenitis
DIS000269	Hyperchromicity	http://en.wikipedia.org/wiki/Hyperchromicity
DIS000270	Idiopathic craniofacial erythema	http://en.wikipedia.org/wiki/Idiopathic_craniofacial_erythema
DIS000271	Halo (optical phenomenon)	http://en.wikipedia.org/wiki/Halo_(optical_phenomenon)
DIS000272	Influenza A virus subtype H5N6	http://en.wikipedia.org/wiki/Influenza_A_virus_subtype_H5N6
DIS000273	Troponymy	http://en.wikipedia.org/wiki/Troponymy
DIS000274	Prototype pattern	http://en.wikipedia.org/wiki/Prototype_pattern
DIS000275	Renbök phenomenon	http://en.wikipedia.org/wiki/Renbök_phenomenon
DIS000276	Localized lipodystrophy	http://en.wikipedia.org/wiki/Localized_lipodystrophy
DIS000277	Crop circle	http://en.wikipedia.org/wiki/Crop_circle
DIS000278	Emphysematous cystitis	http://en.wikipedia.org/wiki/Emphysematous_cystitis
DIS000279	Cornforth rearrangement	http://en.wikipedia.org/wiki/Cornforth_rearrangement
DIS000280	Inherited patterned lentiginosis in black people	http://en.wikipedia.org/wiki/Inherited_patterned_lentiginosis_in_black_people
DIS000281	Photon induced electric field poling	http://en.wikipedia.org/wiki/Photon_induced_electric_field_poling
DIS000282	Visual anthropology	http://en.wikipedia.org/wiki/Visual_anthropology
DIS000283	Panama disease	http://en.wikipedia.org/wiki/Panama_disease
DIS000284	Niementowski quinazoline synthesis	http://en.wikipedia.org/wiki/Niementowski_quinazoline_synthesis
DIS000285	Closed head injury	http://en.wikipedia.org/wiki/Closed_head_injury
DIS000286	Levocardia	http://en.wikipedia.org/wiki/Levocardia
DIS000287	Squash mosaic virus	http://en.wikipedia.org/wiki/Squash_mosaic_virus
DIS000288	Auto-segregation	http://en.wikipedia.org/wiki/Auto-segregation
DIS000289	Pancreatoblastoma	http://en.wikipedia.org/wiki/Pancreatoblastoma
DIS000290	Progressive systemic sclerosis	http://en.wikipedia.org/wiki/Progressive_systemic_sclerosis
DIS000291	2005 Royal Air Force Hercules shootdown	http://en.wikipedia.org/wiki/2005_Royal_Air_Force_Hercules_shootdown
DIS000292	Glandular odontogenic cyst	http://en.wikipedia.org/wiki/Glandular_odontogenic_cyst
DIS000293	Influenza A virus subtype H1N2	http://en.wikipedia.org/wiki/Influenza_A_virus_subtype_H1N2
DIS000294	Fetus in fetu	http://en.wikipedia.org/wiki/Fetus_in_fetu
DIS000295	Divisor function	http://en.wikipedia.org/wiki/Divisor_function
DIS000296	Gram-negative rosacea	http://en.wikipedia.org/wiki/Gram-negative_rosacea
DIS000297	Lazy loading	http://en.wikipedia.org/wiki/Lazy_loading
DIS000298	Kang cancer	http://en.wikipedia.org/wiki/Kang_cancer
DIS000299	Ependymal tumor	http://en.wikipedia.org/wiki/Ependymal_tumor
DIS000300	2011 eruption of Grímsvötn	http://en.wikipedia.org/wiki/2011_eruption_of_Grímsvötn
DIS000301	6-Pyruvoyltetrahydropterin synthase deficiency	http://en.wikipedia.org/wiki/6-Pyruvoyltetrahydropterin_synthase_deficiency
DIS000302	Boden's Mate	http://en.wikipedia.org/wiki/Boden's_Mate
DIS000303	Sonogashira coupling	http://en.wikipedia.org/wiki/Sonogashira_coupling
DIS000304	Market concentration	http://en.wikipedia.org/wiki/Market_concentration
DIS000305	Michaelis–Arbuzov reaction	http://en.wikipedia.org/wiki/Michaelis–Arbuzov_reaction
DIS000306	Dickman function	http://en.wikipedia.org/wiki/Dickman_function
DIS000307	Osteoradionecrosis	http://en.wikipedia.org/wiki/Osteoradionecrosis
DIS000308	Neuronal galvanotropism	http://en.wikipedia.org/wiki/Neuronal_galvanotropism
DIS000309	United States Navy dog handler hazing scandal	http://en.wikipedia.org/wiki/United_States_Navy_dog_handler_hazing_scandal
DIS000310	Spondylo-meta-epiphyseal dysplasia	http://en.wikipedia.org/wiki/Spondylo-meta-epiphyseal_dysplasia
DIS000311	South Atlantic High	http://en.wikipedia.org/wiki/South_Atlantic_High
DIS000312	Shipping (fandom)	http://en.wikipedia.org/wiki/Shipping_(fandom)
DIS000313	Study heterogeneity	http://en.wikipedia.org/wiki/Study_heterogeneity
DIS000314	Light-time correction	http://en.wikipedia.org/wiki/Light-time_correction
DIS000315	Economic security	http://en.wikipedia.org/wiki/Economic_security
DIS000316	P-adic gamma function	http://en.wikipedia.org/wiki/P-adic_gamma_function
DIS000317	Willingness to accept	http://en.wikipedia.org/wiki/Willingness_to_accept
DIS000318	Xerophthalmia	http://en.wikipedia.org/wiki/Xerophthalmia
DIS000319	Endosalpingiosis	http://en.wikipedia.org/wiki/Endosalpingiosis
DIS000320	Stupidity	http://en.wikipedia.org/wiki/Stupidity
DIS000321	2008 Western Australian gas crisis	http://en.wikipedia.org/wiki/2008_Western_Australian_gas_crisis
DIS000322	ΔT	http://en.wikipedia.org/wiki/ΔT
DIS000323	Fowler–Noll–Vo hash function	http://en.wikipedia.org/wiki/Fowler–Noll–Vo_hash_function
DIS000324	Carboxylation	http://en.wikipedia.org/wiki/Carboxylation
DIS000325	Custom (law)	http://en.wikipedia.org/wiki/Custom_(law)
DIS000326	Intermodal mapping	http://en.wikipedia.org/wiki/Intermodal_mapping
DIS000327	Crawl space vent	http://en.wikipedia.org/wiki/Crawl_space_vent
DIS000328	Canine follicular dysplasia	http://en.wikipedia.org/wiki/Canine_follicular_dysplasia
DIS000329	Upper airway resistance syndrome	http://en.wikipedia.org/wiki/Upper_airway_resistance_syndrome
DIS000330	Iododerma	http://en.wikipedia.org/wiki/Iododerma
DIS000331	Krzyzewskiville	http://en.wikipedia.org/wiki/Krzyzewskiville
DIS000332	Diabetic myonecrosis	http://en.wikipedia.org/wiki/Diabetic_myonecrosis
