disease_id	name	cui	DKE
DIS006382	Achard–Thiers syndrome	C0002453	Amenorrhea
DIS006281	Achilles tendinitis	C0039503	Tendinitis
DIS004911	Achilles tendon rupture	C0231530	Muscle twitch
DIS005927	Achlorhydria	C0000737	Abdominal pain
DIS005868	Achondroplasia	C0013336	Dwarfism
DIS005496	Achromatopsia	C0027651	Neoplasms
DIS006200	Acid erosion	C0700185	Decalcification
DIS004954	Acid–base imbalance	C0020578	Hyperventilation
DIS006331	Acinic cell carcinoma	C0001807	Aggressive behavior
DIS006861	Acne	C0001144	Acne vulgaris
DIS006916	Acne conglobata	C0205204	Scab
DIS005790	Acne fulminans	C0021368	Inflammation
DIS004086	Acquired C1 esterase inhibitor deficiency	C0002994	Angioedema
DIS003840	Acquired idiopathic generalized anhidrosis	C0150866	Biopsy of skin
DIS005729	Acquired progressive lymphangioma	C0027651	Neoplasms
DIS006551	Acral lentiginous melanoma	C0005558	Biopsy
DIS004996	Acrania	C0041618	Ultrasonography
DIS004493	Acrocyanosis	C0010520	Cyanosis
DIS003688	Acrodermatitis chronica atrophicans	C0150866	Biopsy of skin
DIS005272	Acrodermatitis enteropathica	C0150866	Biopsy of skin
DIS006300	Acrodynia	C0040188	Tic disorder
DIS005984	Acromegaly	C0018681	Headache
DIS003506	Acrophobia	C0015726	Fear
DIS003695	Acro–dermato–ungual–lacrimal–tooth syndrome	C0016689	Freckles
DIS003342	Actinic elastosis	C0037301	Wrinkled skin
DIS005963	Actinic granuloma	C0018188	Granuloma
DIS007191	Actinomycosis	C0024485	Magnetic resonance imaging
DIS007197	Acute abdomen	C0000727	Acute abdomen
DIS005568	Acute basophilic leukemia	C0027651	Neoplasms
DIS006167	Acute beryllium poisoning	C0003123	Anorexia
DIS004927	Acute bronchitis	C0149514	Acute bronchitis
DIS003339	Acute coronary syndrome	C0002965	Unstable angina
DIS004046	Acute decompensated heart failure	C0002871	Anemia
DIS003942	Acute disseminated encephalomyelitis	C0221198	Lesion
DIS005091	Acute erythroid leukemia	C0015672	Fatigue
DIS003697	Acute fatty liver of pregnancy	C0012739	Disseminated intravascular coagulation
DIS000495	Acute flaccid myelitis	C0038454	Cerebrovascular accident
DIS005791	Acute hemorrhagic edema of infancy	C0013604	Edema
DIS005022	Acute intermittent porphyria	C0011175	Dehydration
DIS004023	Acute liver failure	C0015695	Fatty liver
DIS006489	Acute lymphoblastic leukemia	C0023418	Leukemia, NOS
DIS005353	Acute megakaryoblastic leukemia	C0027651	Neoplasms
DIS006729	Acute monocytic leukemia	C0023418	Leukemia, NOS
DIS005552	Acute myelomonocytic leukemia	C0005558	Biopsy
DIS007258	Acute necrotizing ulcerative gingivitis	C0029118	Opportunistic infectious disease, NOS
DIS004116	Acute pancreatitis	C0008310	Endoscopic retrograde cholangiopancreatography
DIS006195	Acute panmyelosis with myelofibrosis	C0005954	Bone marrow biopsy
DIS004072	Acute pericarditis	C0004364	Autoimmune disease NOS
DIS006326	Acute proliferative glomerulonephritis	C0021368	Inflammation
DIS004464	Acute promyelocytic leukemia	C0005558	Biopsy
DIS005350	Acute prostatitis	C0009555	Complete blood count
DIS004032	Acute radiation syndrome	C0041834	Erythema
DIS003285	Acute respiratory distress syndrome	C0030305	Pancreatitis
DIS006258	Acute retinal necrosis	C0042164	Uveitis
DIS006058	Acute severe asthma	C0004096	Asthma
DIS013242	Acute stress disorder	C0002957	Anger
DIS006778	Acute tubular necrosis	C0042014	Urinalysis
DIS007319	Adamantinoma	C0013604	Edema
DIS006084	Adams–Oliver syndrome	C0263401	Cutis marmorata
DIS003451	Adams–Stokes syndrome	C0007165	Cardiac output, NOS
DIS000826	Addiction	C0004936	Mental disorders NOS
DIS004310	Addison's disease	C0019080	Hemorrhage
DIS004738	Adducted thumb syndrome	C0003886	Arthrogryposis
DIS005700	Adenine phosphoribosyltransferase deficiency	C0000737	Abdominal pain
DIS003322	Adenocarcinoma	C0027651	Neoplasms
DIS005668	Adenocarcinoma in situ of the lung	C0027651	Neoplasms
DIS000935	Adenoiditis	C0027429	Nasal obstruction
DIS003333	Adenoma	C0027651	Neoplasms
DIS006949	Adenomatoid tumor	C0027651	Neoplasms
DIS006907	Adenomyoma	C0027651	Neoplasms
DIS007302	Adenomyomatosis	C0024485	Magnetic resonance imaging
DIS007339	Adenomyosis	C0341858	Endometriosis of uterus
DIS007528	Adenosine monophosphate deaminase deficiency type 1	C0026821	Muscle cramp
DIS005597	Adenylosuccinate lyase deficiency	C0024485	Magnetic resonance imaging
DIS003865	Adhesive capsulitis of shoulder	C0004364	Autoimmune disease NOS
DIS006705	Adie syndrome	C0024485	Magnetic resonance imaging
DIS006990	Adipose tissue neoplasm	C0027651	Neoplasms
DIS004269	Adiposis dolorosa	C0021368	Inflammation
DIS005821	Adiposogenital dystrophy	C0221198	Lesion
DIS001348	Adipsia	C0011175	Dehydration
DIS004653	Adjustment disorder	C1269683	Major depressive disorder
DIS006383	Adrenal crisis	C0162429	Malnutrition
DIS007416	Adrenal insufficiency	C0221423	Illness (finding)
DIS007605	Adrenal tumor	C0027651	Neoplasms
DIS007400	Adrenocortical adenoma	C0027651	Neoplasms
DIS005026	Adrenocortical carcinoma	C0010481	Cushing's syndrome NOS
DIS006786	Adrenoleukodystrophy	C0024485	Magnetic resonance imaging
DIS005653	Adult T-cell leukemia/lymphoma	C0021051	Unspecified immunity deficiency
DIS001157	Adult-onset immunodeficiency syndrome	C0041296	Tuberculosis
DIS007104	Adult-onset Still's disease	C0003862	Arthralgia
DIS007599	Advanced sleep phase disorder	C0162701	Polysomnography
DIS005539	Aerosinusitis	C0014591	Epistaxis
DIS003234	Aerosol burn	C0004096	Asthma
DIS004795	African iron overload	C0282193	Iron overload
DIS004221	African trypanosomiasis	C3714514	Infection
DIS004117	Agenesis of the corpus callosum	C0010709	Cyst
DIS006581	Aggressive fibromatosis	C0221198	Lesion
DIS004937	Aggressive NK-cell leukemia	C0002871	Anemia
DIS004136	Agnosia	C0001816	Agnosia
DIS004884	Agoraphobia	C0001818	Agoraphobia
DIS005562	Agranulocytosis	C0750394	Leukopenia
DIS002687	Agraphesthesia	C0338656	Impaired cognition
DIS004413	Aicardi syndrome	C0036572	Convulsions
DIS004592	AIDS-related lymphoma	C0028081	Night sweats
DIS005872	Ainhum	C0016059	Fibrosis
DIS005589	Air embolism	C0030193	Pain
DIS006486	Airsickness	C0013144	Drowsiness
DIS004016	Akathisia	C0035258	Restless legs syndrome
DIS004779	AL amyloidosis	C0013604	Edema
DIS005043	Alagille syndrome	C0018808	Heart murmur
DIS005606	Alcohol abuse	C0013146	Drug abuse
DIS000786	Alcohol flush reaction	C0016382	Flushing
DIS006854	Alcohol intoxication	C0018941	Blood test
DIS003412	Alcohol withdrawal syndrome	C0001957	Alcohol withdrawal delirium
DIS007164	Alcoholic cardiomyopathy	C0002978	Angiogram
DIS003295	Alcoholic hepatitis	C0022346	Icterus
DIS006917	Alcoholic liver disease	C0000737	Abdominal pain
DIS004257	Alcoholic polyneuropathy	C0001973	Alcohol dependence
DIS005722	Alcoholism	C0001973	Alcohol dependence
DIS004721	Aldolase A deficiency	C0015967	Fever
DIS007172	Alien hand syndrome	C0042950	Volition
DIS003917	Alkalosis	C0002063	Alkalosis
DIS004474	Alkaptonuria	C0003862	Arthralgia
DIS007458	Allan–Herndon–Dudley syndrome	C0003537	Aphasia
DIS006816	Allergic bronchopulmonary aspergillosis	C0004031	Allergic bronchopulmonary aspergillosis
DIS006850	Allergic conjunctivitis	C0004096	Asthma
DIS007059	Allergy	C0004096	Asthma
DIS006061	Alopecia areata	C0002170	Alopecia
DIS004482	Alopecia universalis	C0002170	Alopecia
DIS007644	Alpha-thalassemia	C0009555	Complete blood count
DIS005267	Alport syndrome	C0005558	Biopsy
DIS005309	Alström syndrome	C0024485	Magnetic resonance imaging
DIS003208	Alternating hemiplegia	C0013404	Dyspnea
DIS004763	Alternating hemiplegia of childhood	C0014544	Epilepsy
DIS004380	Altitude sickness	C0221423	Illness (finding)
DIS006303	Alveolar osteitis	C0021368	Inflammation
DIS006960	Alveolar rhabdomyosarcoma	C0027651	Neoplasms
DIS003957	Alveolar soft part sarcoma	C0027651	Neoplasms
DIS003478	Alzheimer's disease	C0162429	Malnutrition
DIS004725	Amaurosis fugax	C0149793	Amaurosis fugax
DIS006661	Amblyopia	C0002418	Amblyopia
DIS005651	Amelanotic melanoma	C0027651	Neoplasms
DIS003502	Amelia (birth defect)	C0041618	Ultrasonography
DIS003394	Ameloblastoma	C0005558	Biopsy
DIS002816	Ammonia poisoning	C0019080	Hemorrhage
DIS005472	Amnesia	C0002622	Amnesia
DIS005200	Amniotic fluid embolism	C0002627	Amniocentesis
DIS005220	Amoebiasis	C3714514	Infection
DIS007166	Amoebic liver abscess	C0010709	Cyst
DIS001229	Amphistomiasis	C0000737	Abdominal pain
DIS003692	Amputation	C0017086	Gangrene
DIS004608	Amyloidosis	C0005558	Biopsy
DIS005646	Amyotrophic lateral sclerosis	C0236642	Pick disease
DIS006078	Anal cancer	C0019080	Hemorrhage
DIS005890	Anal fissure	C0016167	Anal fissure
DIS005044	Anal fistula	C0030193	Pain
DIS006753	Analgesic nephropathy	C0002871	Anemia
DIS004406	Anaphylaxis	C0002792	Anaphylaxis
DIS003869	Anaplasmosis	C0014740	Erythema chronicum migrans
DIS000461	Anaplastic astrocytoma	C0018681	Headache
DIS003827	Anaplastic large-cell lymphoma	C0021368	Inflammation
DIS007423	Anaplastic thyroid cancer	C0024485	Magnetic resonance imaging
DIS006148	Ancylostomiasis	C0032285	Pneumonia
DIS003278	Andersen–Tawil syndrome	C0003811	Cardiac arrhythmia
DIS006139	Anemia	C0002871	Anemia
DIS007086	Anemia of chronic disease	C0002871	Anemia
DIS004224	Anencephaly	C0162429	Malnutrition
DIS007073	Aneuploidy	C0002627	Amniocentesis
DIS005298	Aneurysm	C0002978	Angiogram
DIS003438	Aneurysmal bone cyst	C0027651	Neoplasms
DIS005392	Angelman syndrome	C0014544	Epilepsy
DIS006100	Angina	C0011849	Diabetes mellitus, NOS
DIS003730	Angioedema	C0002792	Anaphylaxis
DIS004643	Angiokeratoma	C0005558	Biopsy
DIS006432	Angiolipoma	C0036220	Kaposi sarcoma
DIS004001	Angioma	C0018916	Hemangioma
DIS004362	Angiomatosis	C0012833	Dizziness
DIS003184	Angiomyolipoma	C0005558	Biopsy
DIS004633	Angiostrongyliasis	C0017547	Gigantism
DIS003620	Angular cheilitis	C0024523	Malabsorption syndrome NOS
DIS003984	Anhedonia	C0023185	Learning
DIS006658	Animal bite	C0019080	Hemorrhage
DIS007478	Aniseikonia	C0004106	Astigmatism
DIS004671	Anismus	C2129214	Loose stool
DIS004519	Anisocoria	C0003079	Anisocoria
DIS007038	Ankyloglossia	C0030247	Palpation
DIS006595	Ankylosing spondylitis	C0021368	Inflammation
DIS007309	Ankylosis	C0003864	Arthritis
DIS006811	Annular pancreas	C0021368	Inflammation
DIS003614	Anomic aphasia	C0003113	Anomia
DIS007274	Anophthalmia	C0003119	Anophthalmos
DIS006577	Anorectal abscess	C0000833	Abscess
DIS000423	Anorectal varices	C0020541	Portal hypertension
DIS005619	Anorexia nervosa	C0003123	Anorexia
DIS004659	Anorgasmia	C0004936	Mental disorders NOS
DIS001285	Anosognosia	C0018979	Hemianopsia
DIS004844	Anovulation	C0014130	Endocrine system disease, NOS
DIS005386	Anterior cerebral artery syndrome	C0038454	Cerebrovascular accident
DIS004483	Anterior compartment syndrome	C0030193	Pain
DIS004426	Anterior cruciate ligament injury	C0015672	Fatigue
DIS007265	Anterior ischemic optic neuropathy	C0003860	Arteritis
DIS004243	Anterior spinal artery syndrome	C0015726	Fear
DIS000475	Anterograde amnesia	C0036974	Shock
DIS007089	Anthrax	C1285498	Vegetation
DIS007439	Antiphospholipid syndrome	C0030605	Activated partial thromboplastin time
DIS005723	Antisocial personality disorder	C0233523	Antisocial behavior
DIS007307	Antithrombin III deficiency	C0030605	Activated partial thromboplastin time
DIS007226	Antley–Bixler syndrome	C0041618	Ultrasonography
DIS001291	Anton–Babinski syndrome	C0456909	Blindness, NOS
DIS004983	Anxiety disorder	C0001973	Alcohol dependence
DIS004674	Aortic aneurysm	C0000737	Abdominal pain
DIS005580	Aortic dissection	C0020538	Hypertensive disease
DIS003196	Aortic insufficiency	C0004943	Behcet's syndrome
DIS004680	Aortic stenosis	C0006663	Calcinosis
DIS006931	Aortitis	C0021368	Inflammation
DIS005529	Aortoenteric fistula	C0017181	Gastrointestinal hemorrhage, NOS
DIS003250	Aortoiliac occlusive disease	C0002978	Angiogram
DIS005242	Aortopulmonary septal defect	C0302142	Deformity
DIS004717	Apert syndrome	C0162429	Malnutrition
DIS006741	Aphakia	C0003534	Aphakia
DIS004308	Aphasia	C0003537	Aphasia
DIS006150	Aphthous stomatitis	C0005558	Biopsy
DIS004960	Aplastic anemia	C0004364	Autoimmune disease NOS
DIS007554	Apnea of prematurity	C0003578	Apnea
DIS004993	Apparent mineralocorticoid excess syndrome	C0020538	Hypertensive disease
DIS005081	Appendicitis	C0000737	Abdominal pain
DIS005760	Appendix cancer	C0005558	Biopsy
DIS004352	Apraxia	C0003635	Apraxia, NOS
DIS000110	Apraxia of speech	C0003635	Apraxia, NOS
DIS000644	Aprosodia	C0023185	Learning
DIS006212	Apudoma	C0027651	Neoplasms
DIS004442	Aquagenic pruritus	C0033774	Pruritus
DIS005198	Aquagenic urticaria	C0009676	Confusion
DIS005175	Arachnodactyly	C0019880	Homocystinuria
DIS004471	Arachnoid cyst	C0423153	Lacrimation
DIS007532	Arachnoiditis	C0019080	Hemorrhage
DIS004173	Arachnophobia	C0015726	Fear
DIS006289	Arbovirus	C0018941	Blood test
DIS005921	Arcuate uterus	C0020709	Hysterosalpingogram
DIS004401	Arcus senilis	C0020473	Hyperlipidemia
DIS006793	Aromatase deficiency	C0018941	Blood test
DIS006018	Aromatase excess syndrome	C0018418	Gynecomastia
DIS013470	Arrhythmia	C0003811	Cardiac arrhythmia
DIS005190	Arsenic poisoning	C0007114	Malignant neoplasm of skin
DIS005221	Arterial embolism	C0002979	Digital subtraction angiography
DIS007217	Arteriosclerosis	C0018941	Blood test
DIS003440	Arteriovenous fistula	C0020538	Hypertensive disease
DIS003245	Arteriovenous malformation	C0002978	Angiogram
DIS000687	Arteritic anterior ischemic optic neuropathy	C0003860	Arteritis
DIS005670	Arteritis	C0002978	Angiogram
DIS007380	Arthralgia	C0003862	Arthralgia
DIS003479	Arthritis	C0003864	Arthritis
DIS006777	Arthrogryposis	C0003886	Arthrogryposis
DIS005263	Arthropathy	C0018941	Blood test
DIS003836	Asbestosis	C0016059	Fibrosis
DIS007239	Ascariasis	C0032285	Pneumonia
DIS007120	Ascending cholangitis	C0008310	Endoscopic retrograde cholangiopancreatography
DIS007376	Ascher's syndrome	C0013604	Edema
DIS005439	Ascites	C0018802	Congestive heart failure
DIS003944	Aseptic meningitis	C0025289	Meningitis
DIS006888	Asherman's syndrome	C0000786	Spontaneous abortion
DIS000955	Aspartylglucosaminuria	C0018941	Blood test
DIS006463	Asperger syndrome	C0236792	Asperger's syndrome
DIS007162	Aspergillosis	C0233205	Halo sign
DIS005950	Asphyxiating thoracic dysplasia	C0041618	Ultrasonography
DIS003551	Aspiration pneumonia	C0011168	Dysphagia, NOS
DIS010270	Aspirin exacerbated respiratory disease	C0004096	Asthma
DIS003665	Asplenia	C0027651	Neoplasms
DIS005967	Asplenia with cardiovascular anomalies	C0010520	Cyanosis
DIS004815	Asterixis	C0232766	Asterixis
DIS005836	Astigmatism	C0004106	Astigmatism
DIS007498	Astroblastoma	C0027651	Neoplasms
DIS005315	Astrocytoma	C0024485	Magnetic resonance imaging
DIS001084	Astrogliosis	C0017639	Gliosis
DIS004004	Asymptomatic inflammatory prostatitis	C0021368	Inflammation
DIS007263	Asystole	C0001122	Acidosis
DIS010323	Ataxia–telangiectasia	C0007758	Cerebellar ataxia NOS
DIS006127	Atelectasis	C0027651	Neoplasms
DIS006069	Atheroma	C0004398	Autopsy
DIS003716	Atherosclerosis	C0002978	Angiogram
DIS005669	Athetoid cerebral palsy	C0221198	Lesion
DIS005467	Athetosis	C0004044	Asphyxia
DIS006388	Athlete's foot	C0040259	Tinea pedis
DIS003702	Athletic heart syndrome	C0020564	Hypertrophy
DIS005510	Athletic pubalgia	C0024485	Magnetic resonance imaging
DIS007100	Atopic dermatitis	C0004096	Asthma
DIS002797	ATR-16 syndrome	C3714756	Intellectual disability
DIS006089	Atransferrinemia	C0002871	Anemia
DIS005355	Atrial fibrillation	C0004238	Atrial fibrillation
DIS005359	Atrial flutter	C0013798	Electrocardiogram
DIS004712	Atrial septal defect	C0018818	Ventricular septal defect NOS
DIS005865	Atrioventricular block	C0013798	Electrocardiogram
DIS003345	Atrioventricular reentrant tachycardia	C0013798	Electrocardiogram
DIS003410	Atrioventricular septal defect	C0013516	Echocardiography
DIS006849	Atrophic gastritis	C0025568	Metaplasia
DIS005302	Atrophic vaginitis	C0016382	Flushing
DIS006740	Atrophodermia vermiculata	C0001144	Acne vulgaris
DIS004128	Attention deficit hyperactivity disorder	C0018790	Cardiac arrest
DIS001159	Attention deficit hyperactivity disorder predominantly inattentive	C0424101	Inattention
DIS004231	Atypical depression	C0004936	Mental disorders NOS
DIS002693	Atypical ductal hyperplasia	C0005558	Biopsy
DIS007188	Atypical facial pain	C0030193	Pain
DIS005134	Atypical fibroxanthoma	C0027651	Neoplasms
DIS006360	Atypical pneumonia	C0015230	Exanthema
DIS003701	Atypical teratoid rhabdoid tumor	C0005954	Bone marrow biopsy
DIS005891	Atypical trigeminal neuralgia	C0009676	Confusion
DIS004445	Auditory hallucination	C0600104	Obsessive compulsive behavior
DIS003736	Auditory processing disorder	C0008073	Developmental disorder
DIS006518	Autism	C0004364	Autoimmune disease NOS
DIS004318	Autoimmune autonomic ganglionopathy	C0018941	Blood test
DIS003822	Autoimmune disease	C0004364	Autoimmune disease NOS
DIS005640	Autoimmune hemolytic anemia	C0221423	Illness (finding)
DIS005373	Autoimmune hepatitis	C0016059	Fibrosis
DIS007647	Autoimmune inner ear disease	C0004364	Autoimmune disease NOS
DIS003685	Autoimmune lymphoproliferative syndrome	C0004364	Autoimmune disease NOS
DIS010269	Autoimmune oophoritis	C0004364	Autoimmune disease NOS
DIS004462	Autoimmune polyendocrine syndrome type 1	C0020626	Hypoparathyroidism
DIS004171	Autoimmune polyendocrine syndrome type 2	C0024485	Magnetic resonance imaging
DIS004204	Autoimmunity	C0004364	Autoimmune disease NOS
DIS005690	Autonomic dysreflexia	C0009806	Constipation
DIS004125	Autosomal dominant cerebellar ataxia	C0007758	Cerebellar ataxia NOS
DIS006270	Autosomal dominant nocturnal frontal lobe epilepsy	C0014544	Epilepsy
DIS003231	Autosomal dominant polycystic kidney disease	C0024485	Magnetic resonance imaging
DIS003346	Autosomal recessive polycystic kidney disease	C0041618	Ultrasonography
DIS004761	AV nodal reentrant tachycardia	C0003811	Cardiac arrhythmia
DIS003656	Avoidant personality disorder	C0003467	Anxiety
DIS006341	Avoidant/restrictive food intake disorder	C0162429	Malnutrition
DIS014275	Axenfeld–Rieger syndrome	C0002627	Amniocentesis
DIS004009	Azotemia	C0003460	Anuria
DIS005707	B-cell leukemia	C0027651	Neoplasms
DIS006643	B-cell lymphoma	C0027651	Neoplasms
DIS003790	B-cell prolymphocytic leukemia	C0750426	Leukocytosis
DIS004395	Baastrup's sign	C0024485	Magnetic resonance imaging
DIS005334	Babesiosis	C0002878	Hemolytic anemia, NOS
DIS005192	Baby colic	C0009806	Constipation
DIS003857	Bacillary angiomatosis	C0005558	Biopsy
DIS007631	Bacillary dysentery	C0018790	Cardiac arrest
DIS005848	Bacteremia	C0004610	Bacteremia
DIS003792	Bacterial pneumonia	C0010200	Coughing
DIS007412	Bacterial vaginosis	C0085166	Bacterial vaginosis
DIS003558	Bad breath	C0018520	Halitosis
DIS006669	Bagassosis	C0010200	Coughing
DIS003709	Baker's cyst	C0022408	Arthropathy
DIS001951	Balanitis	C0021368	Inflammation
DIS004897	Balanitis plasmacellularis	C0014818	Erythroplasia
DIS005916	Balantidiasis	C0011991	Diarrhea
DIS007106	Balkan endemic nephropathy	C0020538	Hypertensive disease
DIS004175	Baller–Gerold syndrome	C0015300	Exophthalmos
DIS006109	Balo concentric sclerosis	C0024485	Magnetic resonance imaging
DIS007264	Band keratopathy	C0018099	Gout
DIS006797	Bangstad syndrome	C0000889	Acanthosis nigricans
DIS006620	Bannayan–Riley–Ruvalcaba syndrome	C0027651	Neoplasms
DIS000632	Banti's syndrome	C0024485	Magnetic resonance imaging
DIS005485	Barakat syndrome	C0011053	Deafness
DIS007050	Barbiturate overdose	C0042014	Urinalysis
DIS003514	Bardet–Biedl syndrome	C0028077	Night blindness NOS
DIS007315	Bare lymphocyte syndrome	C0006267	Bronchiectasis
DIS004238	Baritosis	C0010200	Coughing
DIS003959	Barotrauma	C0038536	Subcutaneous emphysema
DIS006260	Barraquer–Simons syndrome	C0017658	Glomerulonephritis
DIS006241	Barrett's esophagus	C0025568	Metaplasia
DIS004274	Barth syndrome	C0018941	Blood test
DIS007314	Bartholin gland carcinoma	C0027651	Neoplasms
DIS004550	Bartter syndrome	C0009676	Confusion
DIS006248	Basal-cell carcinoma	C0150866	Biopsy of skin
DIS004985	Basilar skull fracture	C0007815	Cerebrospinal fluid rhinorrhea
DIS004123	Basophilia	C0004364	Autoimmune disease NOS
DIS006400	Batten disease	C3665347	Visual impairment
DIS007450	Bazex–Dupré–Christol syndrome	C0027651	Neoplasms
DIS006179	Beau's lines	C0020598	Hypocalcemia
DIS006419	Becker's nevus	C0027651	Neoplasms
DIS003756	Beckwith–Wiedemann syndrome	C0027651	Neoplasms
DIS010288	Bed bug	C0009676	Confusion
DIS003078	Beech bark disease	C0019080	Hemorrhage
DIS004247	Behçet's disease	C0021368	Inflammation
DIS005418	Behr syndrome	C0024485	Magnetic resonance imaging
DIS007409	Bell's palsy	C0011849	Diabetes mellitus, NOS
DIS005913	Benedikt syndrome	C0019080	Hemorrhage
DIS003527	Benign familial neonatal seizures	C0003578	Apnea
DIS006488	Benign hereditary chorea	C0008489	Chorea
DIS007074	Benign paroxysmal positional vertigo	C0042571	Vertigo
DIS006630	Benign prostatic hyperplasia	C0333641	Atrophic
DIS001444	Benign tumor	C0221355	Macrocephaly
DIS007080	BENTA disease	C0023418	Leukemia, NOS
DIS003252	Benzodiazepine dependence	C0003467	Anxiety
DIS004609	Benzodiazepine overdose	C0009421	Comatose
DIS003952	Benzodiazepine use disorder	C0233523	Antisocial behavior
DIS005184	Berdon syndrome	C0041618	Ultrasonography
DIS006047	Bernard–Soulier syndrome	C0005729	Bleeding time
DIS004966	Berylliosis	C0004096	Asthma
DIS005555	Beta thalassemia	C0002871	Anemia
DIS006038	Beta-ketothiolase deficiency	C0009421	Comatose
DIS002722	Beta-mannosidosis	C0011053	Deafness
DIS007517	Bethlem myopathy	C0009917	Contracture
DIS006193	Bezold's abscess	C0013604	Edema
DIS006146	Bickerstaff brainstem encephalitis	C0013819	Electroencephalography
DIS007243	Bicornuate uterus	C0020709	Hysterosalpingogram
DIS004293	Bicuspid aortic valve	C0013516	Echocardiography
DIS005806	Bilateral frontoparietal polymicrogyria	C0014544	Epilepsy
DIS000522	Bilateral hilar lymphadenopathy	C0027651	Neoplasms
DIS004750	Bile acid malabsorption	C0006153	Breath test
DIS006865	Biliary atresia	C0021368	Inflammation
DIS007102	Biliary colic	C0030193	Pain
DIS004017	Biliary dyskinesia	C0041618	Ultrasonography
DIS004373	Biliary fistula	C0030193	Pain
DIS001000	Biliary reflux	C0017168	Gastroesophageal reflux disease
DIS007345	Biliary sludge	C1262477	Weight decreased
DIS003977	Binge drinking	C0003467	Anxiety
DIS005070	Binswanger's disease	C0024485	Magnetic resonance imaging
DIS003359	Biotin deficiency	C0002170	Alopecia
DIS014285	Biphenotypic acute leukaemia	C0005957	Bone marrow examination NOS
DIS004029	Bipolar disorder	C1269683	Major depressive disorder
DIS005578	Bipolar disorder not otherwise specified	C0241934	Hypomania
DIS004673	Bipolar I disorder	C0011251	Delusional disorder
DIS005300	Bipolar II disorder	C0338831	Manic
DIS006853	Bird fancier's lung	C0003123	Anorexia
DIS007152	Birdshot chorioretinopathy	C0015230	Exanthema
DIS004775	Birth defect	C3714756	Intellectual disability
DIS006574	Birth trauma (physical)	C0019080	Hemorrhage
