synonym_name	code	name
Blepharoptosis	D001763	MeSH
Cheilitis	D002613	MeSH
Leukoplakia, Hairy	D017733	MeSH
Orofaciodigital Syndromes	D009958	MeSH
Leukemia, Promyelocytic, Acute	D015473	MeSH
Heart Arrest	D006323	MeSH
Pregnancy, Ectopic	D011271	MeSH
Multiple Acyl Coenzyme A Dehydrogenase Deficiency	D054069	MeSH
Corneal Dystrophy, Juvenile Epithelial of Meesmann	D053559	MeSH
Zika Virus Infection	D000071243	MeSH
Purpura Fulminans	D055665	MeSH
Bland White Garland Syndrome	D063748	MeSH
von Willebrand Disease, Type 1	D056725	MeSH
von Willebrand Disease, Type 2	D056728	MeSH
Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative	D054438	MeSH
Intracranial Arteriovenous Malformations	D002538	MeSH
Hyperekplexia	D000071017	MeSH
Pseudohypoaldosteronism	D011546	MeSH
Septo-Optic Dysplasia	D025962	MeSH
Ichthyosis Bullosa of Siemens	D053560	MeSH
Prune Belly Syndrome	D011535	MeSH
Keratitis, Dendritic	D007635	MeSH
Cytomegalovirus Retinitis	D017726	MeSH
Hepatic Veno-Occlusive Disease	D006504	MeSH
Polycystic Kidney, Autosomal Dominant	D016891	MeSH
Gray Platelet Syndrome	D055652	MeSH
von Willebrand Disease, Type 3	D056729	MeSH
central hearing loss	389.14	ICD-9
Hearing Loss, Central	D006313	MeSH
High frequency deafness	194421002	SNOMED CT
High Frequency Hearing Loss	C34663	NCI
Perceptive deafness	267770004	SNOMED CT
Perceptive hearing loss	194421002	SNOMED CT
Perceptive hearing loss or deafness	389.1	ICD-9
Sensorineural Deafness	C26739	NCI
Sensory hearing loss	389.11	ICD-9
MEN type IIB	C3227	NCI
Multiple Endocrine Neoplasia Type 2b	D018814	MeSH
mucosal neuroma syndrome	2009-6300	CSP
Multiple endocrine neoplasia, type 3	61530001	SNOMED CT
MEN type I	C3225	NCI
Multiple Endocrine Neoplasia Type 1	D018761	MeSH
Wermer's syndrome	258.0	ICD-9
cancer of duodenum	C4803	NCI
Duodenal Neoplasms	D004379	MeSH
Duodenal cancer	363403002	SNOMED CT
Migraine with Aura	D020325	MeSH
Posterior spinal sclerosis	094.0	ICD-9
Tabes Dorsalis	D013606	MeSH
Tabes dorsalis - neurosyphilis	186885003	SNOMED CT
PID	614.9	ICD-9
Pelvic Inflammatory Disease	D000292	MeSH
Dysplastic Nevus Syndrome	D004416	MeSH
FAMM syndrome	C27264	NCI
Hymenolepiasis	D006925	MeSH
Hymenolepis infectious disease	123.6	ICD-9
Diphyllobothrium infection	123.4	ICD-9
Diphyllobothriasis	D004169	MeSH
intestinal taenia solium infection	266160004	SNOMED CT
Cysticercosis	D003551	MeSH
Pork tapeworm infection	123.0	ICD-9
Infection by Sparganum	123.5	ICD-9
Sparganosis	D013031	MeSH
Sparganosis [larval diphyllobothriasis]	123.5	ICD-9
African sleeping sickness	2214-6161	CSP
Trypanosomiasis, African	D014353	MeSH
Keratoconus	D007640	MeSH
peripheral venous insufficiency	20696009	SNOMED CT
Venous Insufficiency	D014689	MeSH
Conjunctival xerosis	372.53	ICD-9
Xerophthalmia	D014985	MeSH
Tear film insufficiency	193980001	SNOMED CT
Dry Eye Syndromes	D015352	MeSH
Accommodative strain	193645002	SNOMED CT
Asthenopia	D001248	MeSH
malignant intestinal tumors	C4572	NCI
Intestinal Neoplasms	D007414	MeSH
malignant neoplasm of intestine	93838000	SNOMED CT
Ileal tumor	C3130	NCI
Ileal Neoplasms	D007078	MeSH
Avascular necrosis of bone	C34841	NCI
Osteonecrosis	D010020	MeSH
bone necrosis	2715-1650	CSP
papillitis	2042-6609	CSP
Papilledema	D010211	MeSH
Focal retinitis and retinochoroiditis, juxtapapillary	363.05	ICD-9
Retinitis	D012173	MeSH
Juxtapapillary focal retinitis AND retinochoroiditis	46497009	SNOMED CT
Papilloretinitis	410471004	SNOMED CT
Pleomorphic Lipoma	C3703	NCI
Lipoma	D008067	MeSH
Pleomorphic lipoma	189783001	SNOMED CT
Pleomorphic lipoma (disorder)	404059000	SNOMED CT
Pleomorphic lipoma (morphologic abnormality)	21396005	SNOMED CT
Dermatomyositis	D003882	MeSH
Polymyositis with skin involvement	710.3	ICD-9
Borderline leprosy (disorder)	400008009	SNOMED CT
Leprosy, Borderline	D015439	MeSH
Borderline leprosy [group B]	030.3	ICD-9
Borderline or dimorphous leprosy	030.3	ICD-9
Midborderline leprosy (disorder)	400154003	SNOMED CT
Ocular Motility Disorders	D015835	MeSH
Brown's (tendon) sheath syndrome	378.61	ICD-9
Brown's sheath syndrome	378.61	ICD-9
Sickle-cell thalassemia with crisis	282.42	ICD-9
Thalassemia	D013789	MeSH
Sickle-cell thalassemia without crisis	282.41	ICD-9
Ehrlichiosis	D016873	MeSH
Smooth leprosy	70143003	SNOMED CT
Leprosy, Tuberculoid	D015441	MeSH
Tuberculoid leprosy [type T]	030.1	ICD-9
type T leprosy	030.1	ICD-9
Louping ill	063.1	ICD-9
Louping Ill	D008146	MeSH
Prostatic Neoplasms	D011471	MeSH
malignant tumor of the prostate	C7378	NCI
NGP - new growth of prostate	363448003	SNOMED CT
prostate cancer, familial	C537243	MeSH
prostate neoplasm	2016-2641	CSP
prostatic cancer	2016-2641	CSP
tumor of the prostate	C3343	NCI
Raynaud's disease	123266007	SNOMED CT
Raynaud Disease	D011928	MeSH
Raynaud's disease (disorder)	195295006	SNOMED CT
Raynaud's syndrome	443.0	ICD-9
Raynaud's syndrome (disorder)	195294005	SNOMED CT
Raynaud's syndrome (disorder) [Ambiguous]	22954002	SNOMED CT
Raynaud's syndrome NOS (disorder)	195297003	SNOMED CT
Sialoadenitis	266494007	SNOMED CT
Sialadenitis	D012793	MeSH
beryllium poisoning	1858-2321	CSP
Berylliosis	D001607	MeSH
cotton mill fever	2596-2097	CSP
Byssinosis	D002095	MeSH
Flax-dressers' disease	196014009	SNOMED CT
Stripper's asthma	13151001	SNOMED CT
Pneumoconiosis due to silicates	83316006	SNOMED CT
Silicosis	D012829	MeSH
Silica pneumoconiosis	196010000	SNOMED CT
Silicotic fibrosis of lung	502	ICD-9
Caplan Syndrome	D002205	MeSH
Caplans syndrome	201813004	SNOMED CT
Rheumatoid pneumoconiosis	111280008	SNOMED CT
black lung	2596-4484	CSP
Anthracosis	D055008	MeSH
Coal Miner's Pneumoconiosis	C34390	NCI
Coal workers' lung	500	ICD-9
Coal workers' pneumoconiosis	500	ICD-9
Melanoedema	29422001	SNOMED CT
pulmonary siderosis	62371005	SNOMED CT
Siderosis	D012806	MeSH
Cyst of the breast	C5315	NCI
Breast Cyst	D047688	MeSH
breast Fibrocystic Change	C3039	NCI
Fibrocystic Breast Disease	D005348	MeSH
Diffuse cystic mastopathy	237436008	SNOMED CT
Fibrocystic disease of breast	610.1	ICD-9
Fibrocystic disease of breast (disorder)	27431007	SNOMED CT
Yaws	D015001	MeSH
Strabismic amblyopia	368.01	ICD-9
Amblyopia	D000550	MeSH
neuralgic amyotrophy	193113006	SNOMED CT
Brachial Plexus Neuritis	D020968	MeSH
neuralgic amyotrophy (disorder)	26609002	SNOMED CT
Bamberger-Marie disease	731.2	ICD-9
Osteoarthropathy, Secondary Hypertrophic	D010005	MeSH
HPOA - hypertrophic pulmonary osteoarthropathy	203357004	SNOMED CT
hypertrophic pulmonary osteoarthropathy	731.2	ICD-9
hypertrophic pulmonary osteoarthropathy (disorder)	222712005	SNOMED CT
hypertrophic pulmonary osteoarthropathy (disorder) [Ambiguous]	46922002	SNOMED CT
Marie Bamberger disease	2715-1220	CSP
Plague	D010930	MeSH
Leukemia, Lymphocytic, Chronic, B-Cell	D015451	MeSH
Klippel-Feil Syndrome	D007714	MeSH
congenital dystrophia brevicollis	388981000	SNOMED CT
Klippel-Feil and Turner syndrome	129581007	SNOMED CT
Tonsillitis	D014069	MeSH
Throat infection - tonsillitis	195665006	SNOMED CT
(Legionella) or (Legionnaire's disease)	266186009	SNOMED CT
Legionnaires' Disease	D007877	MeSH
Infection by Legionella pneumophilia (disorder)	269574000	SNOMED CT
Legionella pneumonia (disorder)	195889001	SNOMED CT
Legionella infection (disorder)	26726000	SNOMED CT
Legionellosis	D007876	MeSH
Common Cold	D003139	MeSH
acute Nasopharyngitis	C34500	NCI
acute nasopharyngitis [common cold]	460	ICD-9
acute rhinitis	232341009	SNOMED CT
Nasopharyngitis - acute	266377009	SNOMED CT
Nasopharyngitis, acute	460	ICD-9
Nasopharyngitis	D009304	MeSH
Congenital atresia of esophagus	26179002	SNOMED CT
Esophageal Atresia	D004933	MeSH
Congenital imperforate esophagus	750.3	ICD-9
Imperforate esophagus	204656005	SNOMED CT
Oesophageal atresia	156947007	SNOMED CT
aganglionic megacolon	C34700	NCI
Hirschsprung Disease	D006627	MeSH
macrocolon	204744001	SNOMED CT
pelvirectal achalasia	0724-7702	CSP
anal atresia	204712000	SNOMED CT
Anus, Imperforate	D001006	MeSH
Congenital atresia of anus	14118000	SNOMED CT
Congenital or infantile occlusion of anus	751.2	ICD-9
Imperforate anus	204731006	SNOMED CT
Ca body - stomach	154450001	SNOMED CT
Stomach Neoplasms	D013274	MeSH
Ca lesser curvature - stomach (disorder)	269530002	SNOMED CT
malignant neoplasm of lesser curve of stomach unspecified (disorder)	187743003	SNOMED CT
malignant tumor of body of stomach (disorder)	187742008	SNOMED CT
malignant tumor of greater curve of stomach (disorder)	269460009	SNOMED CT
malignant tumor of lesser curve of stomach (disorder)	269459004	SNOMED CT
Meningoencephalitis (disorder)	7125002	SNOMED CT
Meningoencephalitis	D008590	MeSH
Oculocerebrorenal Syndrome	D009800	MeSH
Lowe syndrome	79385002	SNOMED CT
oculocerebrorenal syndrome of Lowe	1849-1861	CSP
Leukodystrophy, Metachromatic	D007966	MeSH
Scholz cerebral sclerosis	44359008	SNOMED CT
sulfatide lipoidosis	1849-5593	CSP
Heredopathia atactica polyneuritiformis	356.3	ICD-9
Refsum Disease	D012035	MeSH
HMSN type IV	2042-7949	CSP
HSMN IV	25362006	SNOMED CT
Refsum's disease	356.3	ICD-9
beta galactocerebrosidase deficiency	1849-5536	CSP
Leukodystrophy, Globoid Cell	D007965	MeSH
Diffuse globoid body sclerosis	189979005	SNOMED CT
Galactosylceramide beta-galactosidase deficiency (disorder)	192782005	SNOMED CT
Krabbe's disease	330.0	ICD-9
Krabbe's leukodystrophy	5710006	SNOMED CT
ALD	4001-0003	CSP
Adrenoleukodystrophy	D000326	MeSH
diffuse sclerosis	2042-2215	CSP
Encephalitis periaxialis concentrica	44875002	SNOMED CT
Encephalitis periaxialis, Schilder's	341.1	ICD-9
X-linked adrenoleukodystrophy	277.86	ICD-9
Pre-Eclampsia	D011225	MeSH
pre-eclamptic toxaemia	46764007	SNOMED CT
preeclampsia	4001-0110	CSP
pregnancy associated hypertension	C4371	NCI
pregnancy toxemia	2404-7447	CSP
proteinuric hypertension of pregnancy	199011002	SNOMED CT
toxaemia of pregnancy	156106005	SNOMED CT
Charcot Marie Tooth muscular atrophy	2042-7637	CSP
Charcot-Marie-Tooth Disease	D002607	MeSH
CMT - Charcot-Marie-Tooth disease	193158000	SNOMED CT
Peroneal muscular atrophy	356.1	ICD-9
Pearly disease	170713008	SNOMED CT
Tuberculosis, Pleural	D014396	MeSH
Tuberculosis of pleura	186183008	SNOMED CT
Tuberculous pleurisy	012.0	ICD-9
Tuberculous pleuritis	171699006	SNOMED CT
deficiency of tryptophan oxygenase	124208000	SNOMED CT
Hartnup Disease	D006250	MeSH
Neutral 1 amino acid transport defect (disorder)	80902009	SNOMED CT
neutral amino acid transport defect	1849-4235	CSP
chronic motor or vocal tic disorder	307.22	ICD-9
Tic Disorders	D013981	MeSH
Fatty stool (finding)	66187002	SNOMED CT
Steatorrhea	D045602	MeSH
Malabsorption of glucose (disorder)	267426009	SNOMED CT
Glucose Intolerance	D018149	MeSH
LM - Lactose malabsorption	190757002	SNOMED CT
Lactose Intolerance	D007787	MeSH
acquired short bowel syndrome	235724004	SNOMED CT
Short Bowel Syndrome	D012778	MeSH
short gut syndrome	0724-8009	CSP
Bacterial overgrowth syndrome (disorder)	66379009	SNOMED CT
Blind Loop Syndrome	D001765	MeSH
Blind loop syndrome	579.2	ICD-9
Blind loop syndrome (disorder)	77225009	SNOMED CT
Sprue - tropical	266547002	SNOMED CT
Sprue, Tropical	D013182	MeSH
Tropical steatorrhea	579.1	ICD-9
celiac sprue	1248-3893	CSP
Celiac Disease	D002446	MeSH
coeliac disease	155842007	SNOMED CT
idiopathic steatorrhea	579.0	ICD-9
active rickets	190640006	SNOMED CT
Rickets	D012279	MeSH
Enteropathy, exudative	579.8	ICD-9
Protein-Losing Enteropathies	D011504	MeSH
Exudative enteropathy (disorder)	22542007	SNOMED CT
Protein-losing enteropathy (disorder)	66972006	SNOMED CT
adult Fanconi Anemia	C4377	NCI
Fanconi Syndrome	D005198	MeSH
Congenital Fanconi syndrome (disorder)	236466005	SNOMED CT
De Toni-Fanconi syndrome	111398009	SNOMED CT
deToni Fanconi syndrome	1849-2203	CSP
Fanconi-de Toni syndrome	270.0	ICD-9
Fanconi-de-Toni syndrome	190683000	SNOMED CT
Infantile nephropathic cystinosis	62332007	SNOMED CT
Lignac-Fanconi syndrome	367374009	SNOMED CT
Microphthalmos	D008850	MeSH
renal tubulo-interstitial disease	198506002	SNOMED CT
Nephritis, Interstitial	D009395	MeSH
Diabetes mellitus AND insipidus with optic atrophy AND deafness (disorder)	70694009	SNOMED CT
Wolfram Syndrome	D014929	MeSH
cystine storage disease	1849-0607	CSP
Cystinosis	D003554	MeSH
AD	0485-6737	CSP
Alzheimer Disease	D000544	MeSH
Alzheimers dementia	C2866	NCI
glaucoma simplex	111513000	SNOMED CT
Glaucoma, Open-Angle	D005902	MeSH
open angle glaucoma	C34641	NCI
Wide-angle glaucoma	365.10	ICD-9
breast inflammation	266644004	SNOMED CT
Mastitis	D008413	MeSH
Inflammatory breast disease	198099006	SNOMED CT
Inflammatory disease of breast	611.0	ICD-9
Infection by Paragonimus (disorder)	30369007	SNOMED CT
Paragonimiasis	D010237	MeSH
lung fluke disease	121.2	ICD-9
lung fluke infection	240807004	SNOMED CT
pulmonary paragonimiasis	240808009	SNOMED CT
Giardiasis	D005873	MeSH
Infection by Giardia lamblia	007.1	ICD-9
renal failure	198524000	SNOMED CT
Renal Insufficiency	D051437	MeSH
Petrositis	D059270	MeSH
High blood pressure (& [essential hypertension])	194757006	SNOMED CT
Hypertension	D006973	MeSH
HTN	0571-5243	CSP
hyperpiesia	4003-0017	CSP
vascular hypertensive disorder	C3117	NCI
Moschcowitz's syndrome	446.6	ICD-9
Purpura, Thrombotic Thrombocytopenic	D011697	MeSH
Mesenteric adenitis	191376006	SNOMED CT
Mesenteric Lymphadenitis	D008640	MeSH
Mesenteric lymphadenitis	289.2	ICD-9
Mesenteric lymphadenitis (disorder)	44897000	SNOMED CT
Menopause - premature	267486007	SNOMED CT
Menopause, Premature	D008594	MeSH
Menopause praecox	74296006	SNOMED CT
Infectious Disease by Setaria (disorder)	4414005	SNOMED CT
Setariasis	D012719	MeSH
Sphenoidal sinusitis	C35031	NCI
Sphenoid Sinusitis	D015524	MeSH
disease due to superfamily Filarioidea (disorder)	105706003	SNOMED CT
Filariasis	D005368	MeSH
acute gastric ulcer with haemorrhage and perforation	155684001	SNOMED CT
Stomach Ulcer	D013276	MeSH
acute gastric ulcer with hemorrhage AND obstruction (disorder)	46708007	SNOMED CT
acute gastric ulcer with hemorrhage and perforation	531.2	ICD-9
acute gastric ulcer with hemorrhage AND perforation (disorder)	48974009	SNOMED CT
acute gastric ulcer with hemorrhage AND perforation [dup] (disorder)	196631003	SNOMED CT
acute gastric ulcer with hemorrhage and perforation, without mention of obstruction	531.20	ICD-9
acute gastric ulcer with hemorrhage AND with perforation but without obstruction (disorder)	17067009	SNOMED CT
acute gastric ulcer with hemorrhage, with obstruction	531.01	ICD-9
acute gastric ulcer with hemorrhage, with perforation AND with obstruction (disorder)	53337006	SNOMED CT
acute gastric ulcer with perforation AND obstruction (disorder)	43694004	SNOMED CT
acute gastric ulcer with perforation, with obstruction	531.11	ICD-9
acute gastric ulcer without hemorrhage, without perforation AND without obstruction (disorder)	54053008	SNOMED CT
acute gastric ulcer without mention of hemorrhage or perforation, without mention of obstruction	531.30	ICD-9
chronic gastric ulcer without hemorrhage AND without perforation but with obstruction (disorder)	60531007	SNOMED CT
chronic gastric ulcer without mention of hemorrhage or perforation, with obstruction	531.71	ICD-9
Dirofilaria infectious disease	125.6	ICD-9
Dirofilariasis	D004184	MeSH
Infection by Dirofilaria (disorder)	73328005	SNOMED CT
Neuroinvasive Eastern equine encephalitis virus infection	417496004	SNOMED CT
Encephalomyelitis, Eastern Equine	D020242	MeSH
Japanese B encephalitis	062.0	ICD-9
Encephalitis, Japanese	D004672	MeSH
Neuroinvasive St. Louis encephalitis virus infection	417607009	SNOMED CT
Encephalitis, St. Louis	D004674	MeSH
Partial third nerve palsy	3171005	SNOMED CT
Oculomotor Nerve Diseases	D015840	MeSH
Third nerve palsy with pupil sparing	194118007	SNOMED CT
Third or oculomotor nerve palsy, partial	378.51	ICD-9
Abducens nerve disorder	398925009	SNOMED CT
Abducens Nerve Diseases	D020434	MeSH
Abducens nerve weakness	398963001	SNOMED CT
disorder of abducent nerve	230533001	SNOMED CT
Lateral rectus muscle denervation paresis	398760006	SNOMED CT
Lateral rectus muscle innervation disorder	4892003	SNOMED CT
Sixth cranial nerve disorder, NOS	82373004	SNOMED CT
Sixth nerve palsy (disorder)	14720007	SNOMED CT
Sixth or abducens nerve palsy	378.54	ICD-9
VIth nerve disorder	C27593	NCI
VIth nerve Paralysis	C27592	NCI
Macular Degeneration	D008268	MeSH
Senile macular degeneration	193384000	SNOMED CT
Senile macular retinal degeneration	302891003	SNOMED CT
Vesicular stomatitis and exanthem	074.3	ICD-9
Hand, Foot and Mouth Disease	D006232	MeSH
Pleurodynia, Epidemic	D011000	MeSH
Epidemic pleurisy	154356006	SNOMED CT
Epidemic, myositis	074.1	ICD-9
Vesicular pharyngitis	074.0	ICD-9
Herpangina	D006557	MeSH
Lepromatous leprosy (disorder)	21560005	SNOMED CT
Leprosy, Lepromatous	D015440	MeSH
Lepromatous leprosy [type L]	030.0	ICD-9
type L leprosy	030.0	ICD-9
Spinal Dysraphism	D016135	MeSH
Hypospadias	D007021	MeSH
Microcephalus	742.1	ICD-9
Microcephaly	D008831	MeSH
microencephaly	0723-5649	CSP
hydrocephalus, nonsyndromic, autosomal recessive	236600	OMIM
Hydrocephalus	D006849	MeSH
hydrocephalus, X-linked	C536078	MeSH
Amnesia	D000647	MeSH
Amnestic syndrome	C35764	NCI
Korsakoff's psychosis or syndrome	294.0	ICD-9
Korsakoff Syndrome	D020915	MeSH
Korsakoff's psychosis (disorder)	69482004	SNOMED CT
Korsakoff's syndrome	2042-6017	CSP
Korsakov psychosis	191470004	SNOMED CT
Korsakov's psychosis	268745002	SNOMED CT
Anemia, Sickle Cell	D000755	MeSH
Hb SC disease	35434009	SNOMED CT
Hb-S/Hb-C disease	282.63	ICD-9
Hemoglobin S disease without crisis (disorder)	21976009	SNOMED CT
Sickle-cell/Hb-C disease without crisis	282.63	ICD-9
Compulsive Personality Disorder	D003193	MeSH
Anancastic neurosis	300.3	ICD-9
Obsessive-Compulsive Disorder	D009771	MeSH
Dissociative identity disorder	300.14	ICD-9
Multiple Personality Disorder	D009105	MeSH
Dissociative Disorders	D004213	MeSH
dissociative reaction	2483-7018	CSP
Asocial personality	301.7	ICD-9
Antisocial Personality Disorder	D000987	MeSH
Dissocial personality disorder	192487000	SNOMED CT
Psychopath.personality	268759009	SNOMED CT
Psychopathic personality	191777000	SNOMED CT
Psychopathic personality disorder	301.9	ICD-9
sociopathic personality	2483-7185	CSP
Attention Deficit Disorder with Hyperactivity	D001289	MeSH
Intracranial Aneurysm	D002532	MeSH
Strongyloidiasis	D013322	MeSH
Infection by Strongyloides (disorder)	1214006	SNOMED CT
Cholesteatoma of middle ear	385.32	ICD-9
Cholesteatoma, Middle Ear	D018424	MeSH
Cholesteatoma of middle ear (disorder)	87688009	SNOMED CT
Cholesteatoma of middle ear and mastoid	385.33	ICD-9
Cholesteatoma of middle ear and/or mastoid	39911004	SNOMED CT
Cholesteatoma of the middle ear	C3654	NCI
Epidermosis of ear	385.3	ICD-9
Epidermosis of middle ear	39911004	SNOMED CT
Unspecified cholesteatoma (morphologic abnormality)	194338004	SNOMED CT
cerebral spastic infantile paralysis	0723-4729	CSP
Cerebral Palsy	D002547	MeSH
Diplegic infantile cerebral palsy	343.0	ICD-9
Infantile spastic cerebral palsy	1178005	SNOMED CT
Littles disease	192947000	SNOMED CT
Minimal change disease	44785005	SNOMED CT
Nephrosis, Lipoid	D009402	MeSH
Minimal Change Glomerulonephritis	C34844	NCI
Nephrotic syndrome with lesion of minimal change glomerulonephritis	581.3	ICD-9
Nephrotic syndrome with lesion of minimal change nephrotic syndrome	581.3	ICD-9
Infantile hemiplegia	267696006	SNOMED CT
Hemiplegia	D006429	MeSH
Postnatal infantile hemiplegia	343.4	ICD-9
membranous nephropathy	4006-0062	CSP
Glomerulonephritis, Membranous	D015433	MeSH
(Haemolytic disease due to rhesus isoimmunisation) or (erythroblastosis fetalis) or (rhesus isoimmunisation of the newborn)	206430005	SNOMED CT
Erythroblastosis, Fetal	D004899	MeSH
EF - Erythroblastosis foetalis	387705004	SNOMED CT
erythroblastosis fetalis	0441-2309	CSP
Hereditary Nephritis	C34842	NCI
Nephritis, Hereditary	D009394	MeSH
Alpha thalassaemia	191186002	SNOMED CT
alpha-Thalassemia	D017085	MeSH
acute haemorrhagic leucoencephalitis of Weston Hurst	72986009	SNOMED CT
Leukoencephalitis, Acute Hemorrhagic	D004684	MeSH
AHL	606752	OMIM
Corneal oedema	155158008	SNOMED CT
Corneal Edema	D015715	MeSH
Neurotic derealization	300.6	ICD-9
Depersonalization	D003861	MeSH
Felty Syndrome	D005258	MeSH
Rheumatoid arthritis with splenoadenomegaly and leukopenia	714.1	ICD-9
Meconium Aspiration Syndrome	D008471	MeSH
Neonatal aspiration of meconium	278927005	SNOMED CT
Urinary Bladder Neoplasms	D001749	MeSH
tumor of the bladder	C2901	NCI
Pasteurella infection	276199008	SNOMED CT
Pasteurella Infections	D010326	MeSH
Brucellosis	D002006	MeSH
Infestation by fly larvae (disorder)	60412004	SNOMED CT
Myiasis	D009198	MeSH
Infestation by maggots	134.0	ICD-9
Maggot infestation	266225001	SNOMED CT
Myiasis, unspecified	187224004	SNOMED CT
Myiasis, unspecified (disorder)	187547004	SNOMED CT
Asphyxia - birth	268873007	SNOMED CT
Asphyxia Neonatorum	D001238	MeSH
Asphyxia, in liveborn infant	28314004	SNOMED CT
Birth asphyxia	413654009	SNOMED CT
postnatal asphyxia	0726-3340	CSP
Infection due to Coxiella burnetii (disorder)	260588007	SNOMED CT
Q Fever	D011778	MeSH
Trench Fever	D014205	MeSH
Trench fever	083.1	ICD-9
Wolhynian fever	083.1	ICD-9
Bartonella Infections	D001474	MeSH
bartonelliasis	2623-6984	CSP
