disease_id	name	code	name
DIS006760	Acanthamoeba keratitis	67043	Orphanet
DIS005435	Acanthocheilonemiasis	125.4	ICD-9-CM
DIS006818	Acanthoma	D049309	MeSH
DIS003340	Acanthosis nigricans	000852	MedlinePlus
DIS006369	Acariasis	133	ICD-9-CM
DIS006447	Acatalasia	115500	OMIM
DIS005577	Accelerated phase chronic myelogenous leukemia	D015465	MeSH
DIS006384	Accessory auricle	610420	OMIM
DIS005897	Accessory nerve disorder	2859	DiseasesDB
DIS004137	Aceruloplasminemia	275.0	ICD-9-CM
DIS005369	Acetabular fracture	S32.4	ICD-10
DIS006382	Achard–Thiers syndrome	255.2	ICD-9-CM
DIS006281	Achilles tendinitis	001072	MedlinePlus
DIS004911	Achilles tendon rupture	727.67	ICD-9-CM
DIS005927	Achlorhydria	29513	DiseasesDB
DIS005868	Achondroplasia	001577	MedlinePlus
DIS005496	Achromatopsia	001002	MedlinePlus
DIS006200	Acid erosion	D014077	MeSH
DIS004954	Acid–base imbalance	276.2	ICD-9-CM
DIS006331	Acinic cell carcinoma	142.0	ICD-9-CM
DIS006861	Acne	000873	MedlinePlus
DIS006916	Acne conglobata	29800	DiseasesDB
DIS005790	Acne fulminans	706.1	ICD-9-CM
DIS004086	Acquired C1 esterase inhibitor deficiency	article/104888	eMedicine
DIS003840	Acquired idiopathic generalized anhidrosis	L74.8	ICD-10
DIS005729	Acquired progressive lymphangioma	D18.1	ICD-10
DIS006551	Acral lentiginous melanoma	172.0	ICD-9-CM
DIS004996	Acrania	740.0	ICD-9-CM
DIS004493	Acrocyanosis	29444	DiseasesDB
DIS003688	Acrodermatitis chronica atrophicans	32940	DiseasesDB
DIS005272	Acrodermatitis enteropathica	201100	OMIM
DIS006300	Acrodynia	8057	DiseasesDB
DIS005984	Acromegaly	000321	MedlinePlus
DIS003506	Acrophobia	300.29	ICD-9-CM
DIS003695	Acro–dermato–ungual–lacrimal–tooth syndrome	103285	OMIM
DIS005963	Actinic granuloma	32799	DiseasesDB
DIS007191	Actinomycosis	000599	MedlinePlus
DIS007197	Acute abdomen	789.0	ICD-9-CM
DIS005568	Acute basophilic leukemia	D015471	MeSH
DIS006167	Acute beryllium poisoning	985.3	ICD-9-CM
DIS004927	Acute bronchitis	001087	MedlinePlus
DIS003339	Acute coronary syndrome	Acute coronary syndrome	Patient UK
DIS004046	Acute decompensated heart failure	000158	MedlinePlus
DIS003942	Acute disseminated encephalomyelitis	158	DiseasesDB
DIS005091	Acute erythroid leukemia	133180	OMIM
DIS003697	Acute fatty liver of pregnancy	32879	DiseasesDB
DIS005791	Acute hemorrhagic edema of infancy	article/1112590	eMedicine
DIS005022	Acute intermittent porphyria	171	DiseasesDB
DIS004023	Acute liver failure	570	ICD-9-CM
DIS006489	Acute lymphoblastic leukemia	195	DiseasesDB
DIS005353	Acute megakaryoblastic leukemia	C94.2	ICD-10
DIS006729	Acute monocytic leukemia	206.0	ICD-9-CM
DIS005552	Acute myelomonocytic leukemia	D015479	MeSH
DIS007258	Acute necrotizing ulcerative gingivitis	001044	MedlinePlus
DIS004116	Acute pancreatitis	000287	MedlinePlus
DIS006195	Acute panmyelosis with myelofibrosis	238.79	ICD-9-CM
DIS004072	Acute pericarditis	000182	MedlinePlus
DIS006326	Acute proliferative glomerulonephritis	000503	MedlinePlus
DIS004464	Acute promyelocytic leukemia	102578	OMIM
DIS005350	Acute prostatitis	000519	MedlinePlus
DIS004032	Acute radiation syndrome	000026	MedlinePlus
DIS003285	Acute respiratory distress syndrome	000103	MedlinePlus
DIS006258	Acute retinal necrosis	362.89	ICD-9-CM
DIS006058	Acute severe asthma	493.01	ICD-9-CM
DIS013242	Acute stress disorder	308	ICD-9-CM
DIS006778	Acute tubular necrosis	000512	MedlinePlus
DIS007319	Adamantinoma	102660	OMIM
DIS006084	Adams–Oliver syndrome	100300	OMIM
DIS003451	Adams–Stokes syndrome	12443	DiseasesDB
DIS000826	Addiction	F10-F19	ICD-10
DIS004310	Addison's disease	000378	MedlinePlus
DIS004738	Adducted thumb syndrome	201550	OMIM
DIS005700	Adenine phosphoribosyltransferase deficiency	102600	OMIM
DIS003322	Adenocarcinoma	151.0	ICD-9-CM
DIS005668	Adenocarcinoma in situ of the lung	162	ICD-9-CM
DIS003333	Adenoma	211.3	ICD-9-CM
DIS006949	Adenomatoid tumor	D018254	MeSH
DIS006907	Adenomyoma	D018194	MeSH
DIS007302	Adenomyomatosis	575.8	ICD-9-CM
DIS007339	Adenomyosis	001513	MedlinePlus
DIS007528	Adenosine monophosphate deaminase deficiency type 1	102770	OMIM
DIS005597	Adenylosuccinate lyase deficiency	103050	OMIM
DIS003865	Adhesive capsulitis of shoulder	000455	MedlinePlus
DIS006705	Adie syndrome	29742	DiseasesDB
DIS006990	Adipose tissue neoplasm	D018205	MeSH
DIS004269	Adiposis dolorosa	103200	OMIM
DIS005821	Adiposogenital dystrophy	253.8	ICD-9-CM
DIS001348	Adipsia	article/981022	eMedicine
DIS004653	Adjustment disorder	000932	MedlinePlus
DIS006383	Adrenal crisis	000357	MedlinePlus
DIS007416	Adrenal insufficiency	255.4	ICD-9-CM
DIS007605	Adrenal tumor	C74	ICD-10
DIS007400	Adrenocortical adenoma	D018246	MeSH
DIS005026	Adrenocortical carcinoma	001663	MedlinePlus
DIS006786	Adrenoleukodystrophy	001182	MedlinePlus
DIS005653	Adult T-cell leukemia/lymphoma	204.0	ICD-9-CM
DIS001157	Adult-onset immunodeficiency syndrome	306431	Orphanet
DIS007104	Adult-onset Still's disease	000450	MedlinePlus
DIS007599	Advanced sleep phase disorder	327.32	ICD-9-CM
DIS005539	Aerosinusitis	993.1	ICD-9-CM
DIS003234	Aerosol burn	000057	MedlinePlus
DIS004795	African iron overload	35029	DiseasesDB
DIS004221	African trypanosomiasis	001362	MedlinePlus
DIS004117	Agenesis of the corpus callosum	217990	OMIM
DIS006581	Aggressive fibromatosis	29794	DiseasesDB
DIS004937	Aggressive NK-cell leukemia	86873	Orphanet
DIS004136	Agnosia	784.69	ICD-9-CM
DIS004884	Agoraphobia	000923	MedlinePlus
DIS005562	Agranulocytosis	001295	MedlinePlus
DIS004413	Aicardi syndrome	001664	MedlinePlus
DIS004592	AIDS-related lymphoma	D016483	MeSH
DIS005872	Ainhum	103400	OMIM
DIS005589	Air embolism	313	DiseasesDB
DIS006486	Airsickness	994.6	ICD-9-CM
DIS004016	Akathisia	32479	DiseasesDB
DIS004779	AL amyloidosis	000533	MedlinePlus
DIS005043	Alagille syndrome	118450	OMIM
DIS005606	Alcohol abuse	305.0	ICD-9-CM
DIS006854	Alcohol intoxication	002644	MedlinePlus
DIS003412	Alcohol withdrawal syndrome	000764	MedlinePlus
DIS007164	Alcoholic cardiomyopathy	000174	MedlinePlus
DIS003295	Alcoholic hepatitis	000281	MedlinePlus
DIS006917	Alcoholic liver disease	000281	MedlinePlus
DIS004257	Alcoholic polyneuropathy	000714	MedlinePlus
DIS005722	Alcoholism	000944	MedlinePlus
DIS004721	Aldolase A deficiency	29873	DiseasesDB
DIS007172	Alien hand syndrome	781.8	ICD-9-CM
DIS003917	Alkalosis	001183	MedlinePlus
DIS004474	Alkaptonuria	001200	MedlinePlus
DIS007458	Allan–Herndon–Dudley syndrome	300523	OMIM
DIS006816	Allergic bronchopulmonary aspergillosis	000070	MedlinePlus
DIS006850	Allergic conjunctivitis	001031	MedlinePlus
DIS007059	Allergy	000812	MedlinePlus
DIS006061	Alopecia areata	001450	MedlinePlus
DIS004482	Alopecia universalis	L63.1	ICD-10
DIS007644	Alpha-thalassemia	141800	OMIM
DIS005267	Alport syndrome	000504	MedlinePlus
DIS005309	Alström syndrome	001665	MedlinePlus
DIS003208	Alternating hemiplegia	4693	DiseasesDB
DIS004763	Alternating hemiplegia of childhood	104290	OMIM
DIS004380	Altitude sickness	000133	MedlinePlus
DIS006303	Alveolar osteitis	D004368	MeSH
DIS006960	Alveolar rhabdomyosarcoma	D018232	MeSH
DIS003957	Alveolar soft part sarcoma	163699	Orphanet
DIS003478	Alzheimer's disease	000760	MedlinePlus
DIS004725	Amaurosis fugax	000784	MedlinePlus
DIS006661	Amblyopia	001014	MedlinePlus
DIS005651	Amelanotic melanoma	D018328 D018328, D018328	MeSH
DIS003502	Amelia (birth defect)	755.21	ICD-9-CM
DIS003394	Ameloblastoma	213.0	ICD-9-CM
DIS005472	Amnesia	003257	MedlinePlus
DIS005200	Amniotic fluid embolism	574	DiseasesDB
DIS005220	Amoebiasis	000298	MedlinePlus
DIS007166	Amoebic liver abscess	000211	MedlinePlus
DIS003692	Amputation	D000673	MeSH
DIS004608	Amyloidosis	277.3	ICD-9-CM
DIS005646	Amyotrophic lateral sclerosis	000688	MedlinePlus
DIS006078	Anal cancer	31467	DiseasesDB
DIS005890	Anal fissure	001130	MedlinePlus
DIS005044	Anal fistula	565.1	ICD-9-CM
DIS006753	Analgesic nephropathy	000482	MedlinePlus
DIS004406	Anaphylaxis	000844	MedlinePlus
DIS003869	Anaplasmosis	D000712	MeSH
DIS003827	Anaplastic large-cell lymphoma	200.6	ICD-9-CM
DIS007423	Anaplastic thyroid cancer	000352	MedlinePlus
DIS006148	Ancylostomiasis	126.9	ICD-9-CM
DIS003278	Andersen–Tawil syndrome	170390	OMIM
DIS006139	Anemia	000560	MedlinePlus
DIS007086	Anemia of chronic disease	000565	MedlinePlus
DIS004224	Anencephaly	001580	MedlinePlus
DIS007073	Aneuploidy	758	ICD-9-CM
DIS005298	Aneurysm	001122	MedlinePlus
DIS003438	Aneurysmal bone cyst	606179	OMIM
DIS005392	Angelman syndrome	007616	MedlinePlus
DIS006100	Angina	000198	MedlinePlus
DIS003730	Angioedema	000846	MedlinePlus
DIS004643	Angiokeratoma	31444	DiseasesDB
DIS006432	Angiolipoma	33497	DiseasesDB
DIS004001	Angioma	228	ICD-9-CM
DIS004362	Angiomatosis	article/1051846	eMedicine
DIS003184	Angiomyolipoma	223.0	ICD-9-CM
DIS004633	Angiostrongyliasis	128.8	ICD-9-CM
DIS003620	Angular cheilitis	528.5	ICD-9-CM
DIS003984	Anhedonia	D059445	MeSH
DIS006658	Animal bite	000034	MedlinePlus
DIS007478	Aniseikonia	29646	DiseasesDB
DIS004671	Anismus	K59.8	ICD-10
DIS004519	Anisocoria	003314	MedlinePlus
DIS007038	Ankyloglossia	001640	MedlinePlus
DIS006595	Ankylosing spondylitis	000420	MedlinePlus
DIS007309	Ankylosis	29910	DiseasesDB
DIS006811	Annular pancreas	001142	MedlinePlus
DIS003614	Anomic aphasia	784.3	ICD-9-CM
DIS007274	Anophthalmia	29617	DiseasesDB
DIS006577	Anorectal abscess	001519	MedlinePlus
DIS000423	Anorectal varices	I86.8	ICD-10
DIS005619	Anorexia nervosa	000362	MedlinePlus
DIS004659	Anorgasmia	23879	DiseasesDB
DIS001285	Anosognosia	780.9	ICD-9-CM
DIS004844	Anovulation	628.0	ICD-9-CM
DIS005386	Anterior cerebral artery syndrome	D020243	MeSH
DIS004483	Anterior compartment syndrome	D000868	MeSH
DIS004426	Anterior cruciate ligament injury	844.2	ICD-9-CM
DIS007265	Anterior ischemic optic neuropathy	258660	OMIM
DIS004243	Anterior spinal artery syndrome	33437	DiseasesDB
DIS000475	Anterograde amnesia	780.93	ICD-9-CM
DIS007089	Anthrax	001325	MedlinePlus
DIS007439	Antiphospholipid syndrome	107320	OMIM
DIS005723	Antisocial personality disorder	000921	MedlinePlus
DIS007307	Antithrombin III deficiency	289.81	ICD-9-CM
DIS007226	Antley–Bixler syndrome	201750	OMIM
DIS004983	Anxiety disorder	300	ICD-9-CM
DIS004674	Aortic aneurysm	100070	OMIM
DIS005580	Aortic dissection	000181	MedlinePlus
DIS003196	Aortic insufficiency	000179	MedlinePlus
DIS004680	Aortic stenosis	000178	MedlinePlus
DIS006931	Aortitis	447.6	ICD-9-CM
DIS005529	Aortoenteric fistula	I77.2	ICD-10
DIS003250	Aortoiliac occlusive disease	29335	DiseasesDB
DIS005242	Aortopulmonary septal defect	745.0	ICD-9-CM
DIS004717	Apert syndrome	001581	MedlinePlus
DIS006741	Aphakia	29608	DiseasesDB
DIS004308	Aphasia	003204	MedlinePlus
DIS006150	Aphthous stomatitis	000998	MedlinePlus
DIS004960	Aplastic anemia	000554	MedlinePlus
DIS007554	Apnea of prematurity	007227	MedlinePlus
DIS004993	Apparent mineralocorticoid excess syndrome	12740	DiseasesDB
DIS005081	Appendicitis	000256	MedlinePlus
DIS005760	Appendix cancer	153.5	ICD-9-CM
DIS004352	Apraxia	007472	MedlinePlus
DIS006212	Apudoma	D001079	MeSH
DIS004442	Aquagenic pruritus	L29.8	ICD-10
DIS005198	Aquagenic urticaria	191850	OMIM
DIS005175	Arachnodactyly	003288	MedlinePlus
DIS004471	Arachnoid cyst	207790	OMIM
DIS007532	Arachnoiditis	22543	DiseasesDB
DIS004173	Arachnophobia	F40.2	ICD-10
DIS006289	Arbovirus	D001102	MeSH
DIS005921	Arcuate uterus	752.9	ICD-9-CM
DIS004401	Arcus senilis	107800	OMIM
DIS006793	Aromatase deficiency	107910	OMIM
DIS006018	Aromatase excess syndrome	139300	OMIM
DIS013470	Arrhythmia	001101	MedlinePlus
DIS005190	Arsenic poisoning	985.1	ICD-9-CM
DIS005221	Arterial embolism	001102	MedlinePlus
DIS007217	Arteriosclerosis	1039	DiseasesDB
DIS003440	Arteriovenous fistula	32435	DiseasesDB
DIS003245	Arteriovenous malformation	000779	MedlinePlus
DIS005670	Arteritis	13750	DiseasesDB
DIS007380	Arthralgia	003261	MedlinePlus
DIS003479	Arthritis	001243	MedlinePlus
DIS006777	Arthrogryposis	108110	OMIM
DIS005263	Arthropathy	15237	DiseasesDB
DIS003836	Asbestosis	000118	MedlinePlus
DIS007239	Ascariasis	000628	MedlinePlus
DIS007120	Ascending cholangitis	000290	MedlinePlus
DIS007376	Ascher's syndrome	109900	OMIM
DIS005439	Ascites	000286	MedlinePlus
DIS003944	Aseptic meningitis	000614	MedlinePlus
DIS006888	Asherman's syndrome	001483	MedlinePlus
DIS000955	Aspartylglucosaminuria	208400	OMIM
DIS006463	Asperger syndrome	001549	MedlinePlus
DIS007162	Aspergillosis	001326	MedlinePlus
DIS005950	Asphyxiating thoracic dysplasia	208500	OMIM
DIS003551	Aspiration pneumonia	000121	MedlinePlus
DIS010270	Aspirin exacerbated respiratory disease	208550	OMIM
DIS003665	Asplenia	%271400	OMIM
DIS005967	Asplenia with cardiovascular anomalies	208530	OMIM
DIS004815	Asterixis	33950	DiseasesDB
DIS005836	Astigmatism	001015	MedlinePlus
DIS007498	Astroblastoma	191.9	ICD-9-CM
DIS005315	Astrocytoma	137800	OMIM
DIS004004	Asymptomatic inflammatory prostatitis	10801	DiseasesDB
DIS007263	Asystole	427.5	ICD-9-CM
DIS010323	Ataxia–telangiectasia	001394	MedlinePlus
DIS006127	Atelectasis	000065	MedlinePlus
DIS006069	Atheroma	1039	DiseasesDB
DIS003716	Atherosclerosis	000171	MedlinePlus
DIS005669	Athetoid cerebral palsy	000716	MedlinePlus
DIS005467	Athetosis	16662	DiseasesDB
DIS006388	Athlete's foot	000875	MedlinePlus
DIS003702	Athletic heart syndrome	D059267	MeSH
DIS005510	Athletic pubalgia	848.8	ICD-9-CM
DIS007100	Atopic dermatitis	000853	MedlinePlus
DIS002797	ATR-16 syndrome	141750	OMIM
DIS006089	Atransferrinemia	209300	OMIM
DIS005355	Atrial fibrillation	000184	MedlinePlus
DIS005359	Atrial flutter	000184	MedlinePlus
DIS004712	Atrial septal defect	000157	MedlinePlus
DIS005865	Atrioventricular block	426.0	ICD-9-CM
DIS003345	Atrioventricular reentrant tachycardia	427.0	ICD-9-CM
DIS003410	Atrioventricular septal defect	31910	DiseasesDB
DIS006849	Atrophic gastritis	29503	DiseasesDB
DIS005302	Atrophic vaginitis	000892	MedlinePlus
DIS006740	Atrophodermia vermiculata	209700	OMIM
DIS004128	Attention deficit hyperactivity disorder	001551	MedlinePlus
DIS004231	Atypical depression	296.2x	ICD-9-CM
DIS007188	Atypical facial pain	1129	DiseasesDB
DIS006360	Atypical pneumonia	000079	MedlinePlus
DIS003701	Atypical teratoid rhabdoid tumor	000768	MedlinePlus
DIS005891	Atypical trigeminal neuralgia	13363	DiseasesDB
DIS004445	Auditory hallucination	780.1	ICD-9-CM
DIS003736	Auditory processing disorder	388.40	ICD-9-CM
DIS006518	Autism	001526	MedlinePlus
DIS003822	Autoimmune disease	000816	MedlinePlus
DIS005640	Autoimmune hemolytic anemia	205700	OMIM
DIS005373	Autoimmune hepatitis	000245	MedlinePlus
DIS007647	Autoimmune inner ear disease	388.8	ICD-9-CM
DIS003685	Autoimmune lymphoproliferative syndrome	279.41	ICD-9-CM
DIS010269	Autoimmune oophoritis	C538274	MeSH
DIS004462	Autoimmune polyendocrine syndrome type 1	240300	OMIM
DIS004171	Autoimmune polyendocrine syndrome type 2	258.1	ICD-9-CM
DIS004204	Autoimmunity	109100	OMIM
DIS005690	Autonomic dysreflexia	001431	MedlinePlus
DIS004125	Autosomal dominant cerebellar ataxia	99	Orphanet
DIS006270	Autosomal dominant nocturnal frontal lobe epilepsy	600513	OMIM
DIS003231	Autosomal dominant polycystic kidney disease	000502	MedlinePlus
DIS003346	Autosomal recessive polycystic kidney disease	000502	MedlinePlus
DIS004761	AV nodal reentrant tachycardia	427.89	ICD-9-CM
DIS003656	Avoidant personality disorder	000940	MedlinePlus
DIS006341	Avoidant/restrictive food intake disorder	307.59	ICD-9-CM
DIS014275	Axenfeld–Rieger syndrome	30800	DiseasesDB
DIS004009	Azotemia	26060	DiseasesDB
DIS005707	B-cell leukemia	C91	ICD-10
DIS006643	B-cell lymphoma	C85.1	ICD-10
DIS003790	B-cell prolymphocytic leukemia	D054403	MeSH
DIS004395	Baastrup's sign	721.5	ICD-9-CM
DIS005334	Babesiosis	088.82	ICD-9-CM
DIS005192	Baby colic	000978	MedlinePlus
DIS003857	Bacillary angiomatosis	088.0	ICD-9-CM
DIS007631	Bacillary dysentery	004	ICD-9-CM
DIS005848	Bacteremia	790.7	ICD-9-CM
DIS003792	Bacterial pneumonia	481	ICD-9-CM
DIS007412	Bacterial vaginosis	616.1	ICD-9-CM
DIS003558	Bad breath	003058	MedlinePlus
DIS006669	Bagassosis	29637	DiseasesDB
DIS003709	Baker's cyst	001222	MedlinePlus
DIS001951	Balanitis	000862	MedlinePlus
DIS004897	Balanitis plasmacellularis	article/1122283	eMedicine
DIS005916	Balantidiasis	007.0	ICD-9-CM
DIS007106	Balkan endemic nephropathy	124100	OMIM
DIS004175	Baller–Gerold syndrome	1225	Orphanet
DIS006109	Balo concentric sclerosis	11849	DiseasesDB
DIS007264	Band keratopathy	31296	DiseasesDB
DIS006797	Bangstad syndrome	1227	Orphanet
DIS006620	Bannayan–Riley–Ruvalcaba syndrome	153480	OMIM
DIS005485	Barakat syndrome	146255	OMIM
DIS007050	Barbiturate overdose	969	ICD-9-CM
DIS003514	Bardet–Biedl syndrome	110	Orphanet
DIS007315	Bare lymphocyte syndrome	209920	OMIM
DIS004238	Baritosis	503	ICD-9-CM
DIS003959	Barotrauma	3491	DiseasesDB
DIS006260	Barraquer–Simons syndrome	272.6	ICD-10
DIS006241	Barrett's esophagus	001143	MedlinePlus
DIS004274	Barth syndrome	111	Orphanet
DIS007314	Bartholin gland carcinoma	D003528	MeSH
DIS004550	Bartter syndrome	000308	MedlinePlus
DIS006248	Basal-cell carcinoma	000824	MedlinePlus
DIS004985	Basilar skull fracture	801.1	ICD-9-CM
DIS004123	Basophilia	65209002	DiseasesDB
DIS006400	Batten disease	204200	OMIM
DIS007450	Bazex–Dupré–Christol syndrome	301845	OMIM
DIS006179	Beau's lines	30839	DiseasesDB
DIS006419	Becker's nevus	216	ICD-9-CM
DIS003756	Beckwith–Wiedemann syndrome	001186	MedlinePlus
DIS010288	Bed bug	000033	MedlinePlus
DIS004247	Behçet's disease	109650	OMIM
DIS005418	Behr syndrome	210000	OMIM
DIS007409	Bell's palsy	000773	MedlinePlus
DIS005913	Benedikt syndrome	32780	DiseasesDB
DIS003527	Benign familial neonatal seizures	121200	OMIM
DIS006488	Benign hereditary chorea	118700	OMIM
DIS007074	Benign paroxysmal positional vertigo	001420	MedlinePlus
DIS006630	Benign prostatic hyperplasia	000381	MedlinePlus
DIS007080	BENTA disease	464336	Orphanet
DIS003252	Benzodiazepine dependence	003578	MedlinePlus
DIS004609	Benzodiazepine overdose	969.4	ICD-9-CM
DIS003952	Benzodiazepine use disorder	article/290585	eMedicine
DIS005184	Berdon syndrome	249210	OMIM
DIS006047	Bernard–Soulier syndrome	1356	DiseasesDB
DIS004966	Berylliosis	503	ICD-9-CM
DIS005555	Beta thalassemia	141900	OMIM
DIS006038	Beta-ketothiolase deficiency	134	Orphanet
DIS002722	Beta-mannosidosis	118	Orphanet
DIS007517	Bethlem myopathy	158810	OMIM
DIS006193	Bezold's abscess	383.01	ICD-9-CM
DIS006146	Bickerstaff brainstem encephalitis	323.62	ICD-9-CM
DIS007243	Bicornuate uterus	33376	DiseasesDB
DIS004293	Bicuspid aortic valve	007325	MedlinePlus
DIS005806	Bilateral frontoparietal polymicrogyria	33974	DiseasesDB
DIS004750	Bile acid malabsorption	579.8	ICD-9-CM
DIS006865	Biliary atresia	001145	MedlinePlus
DIS007102	Biliary colic	2533	DiseasesDB
DIS004017	Biliary dyskinesia	12297	DiseasesDB
DIS004373	Biliary fistula	576.4	ICD-9-CM
DIS007345	Biliary sludge	576.8	ICD-9-CM
DIS003977	Binge drinking	305	ICD-9-CM
DIS005070	Binswanger's disease	1405	DiseasesDB
DIS003359	Biotin deficiency	266.2	ICD-9-CM
DIS014285	Biphenotypic acute leukaemia	D015456	MeSH
DIS004029	Bipolar disorder	000926	MedlinePlus
DIS005578	Bipolar disorder not otherwise specified	296.8	ICD-9-CM
DIS004673	Bipolar I disorder	296.7	ICD-9-CM
DIS005300	Bipolar II disorder	F31.8	ICD-10
DIS006853	Bird fancier's lung	29639	DiseasesDB
DIS007152	Birdshot chorioretinopathy	179	Orphanet
DIS004775	Birth defect	28811	DiseasesDB
DIS006574	Birth trauma (physical)	767	ICD-9-CM
DIS006095	Bitemporal hemianopsia	368.47	ICD-9-CM
DIS005672	Black eye	921.0	ICD-9-CM
DIS004824	Black hairy tongue	31923	DiseasesDB
DIS006292	Blackwater fever	084.8	ICD-9-CM
DIS003672	Bladder exstrophy	33377	DiseasesDB
DIS001035	Bladder outlet obstruction	002238	MedlinePlus
DIS004365	Bladder sphincter dyssynergia	596.55	ICD-9-CM
DIS003801	Bladder stone	001275	MedlinePlus
DIS004579	Blastocystosis	007.8	ICD-9-CM
DIS005138	Blastomycosis	000102	MedlinePlus
DIS007646	Bleeding	000045	MedlinePlus
DIS005845	Blepharitis	001619	MedlinePlus
DIS007395	Blepharospasm	000756	MedlinePlus
DIS003538	Blind loop syndrome	001146	MedlinePlus
DIS005781	Blister	003239	MedlinePlus
DIS007324	Blood in stool	003130	MedlinePlus
DIS004420	Blount's disease	001584	MedlinePlus
DIS005071	Blue diaper syndrome	211000	OMIM
DIS007638	Blue nevus	31098	DiseasesDB
DIS004217	Blue rubber bleb nevus syndrome	112200	OMIM
DIS007154	Bobble-head doll syndrome	348	ICD-9-CM
DIS004104	Body dysmorphic disorder	300.7	ICD-9-CM
DIS004511	Body odor	28886	DiseasesDB
DIS004338	Boil	001474	MedlinePlus
DIS006537	Bone tumor	001230	MedlinePlus
DIS006549	Boomerang dysplasia	112310	OMIM
DIS006975	Borderline personality disorder	000935	MedlinePlus
DIS004216	Bornholm disease	074.1	ICD-9-CM
DIS004039	Botulism	000598	MedlinePlus
DIS005108	Boutonneuse fever	082.1	ICD-9-CM
DIS004071	Bowel infarction	29034	DiseasesDB
DIS003270	Bowel obstruction	000260	MedlinePlus
DIS006847	Boxer's fracture	aaem/53	eMedicine
DIS004262	Brachial plexus injury	001418	MedlinePlus
DIS007284	Brain abscess	000783	MedlinePlus
DIS005388	Brain herniation	001421	MedlinePlus
DIS003881	Brain ischemia	435X,437X	ICD-9-CM
DIS003486	Brain tumor	007222	MedlinePlus
DIS003705	Brainstem glioma	neuro/40	eMedicine
DIS002799	Branch retinal vein occlusion	article/1223498	eMedicine
DIS004890	Branchial cleft cyst	001396	MedlinePlus
DIS005797	Branchio-oculo-facial syndrome	113620	OMIM
DIS004299	Braxton Hicks contractions	32873	DiseasesDB
DIS007001	Brazilian purpuric fever	35123	DiseasesDB
DIS003228	Breast cancer	000913	MedlinePlus
DIS004169	Breast cyst	610.0	ICD-9-CM
DIS004481	Breast hematoma	611.89	ICD-9-CM
DIS010287	Breast mass	003155	MedlinePlus
DIS004347	Breast pain	003152	MedlinePlus
DIS006228	Breech birth	002060	MedlinePlus
DIS003655	Brenner tumour	220	ICD-9-CM
DIS006137	Brief reactive psychosis	001529	MedlinePlus
DIS006864	Brodie abscess	730.1	ICD-9-CM
DIS003350	Brody myopathy	35041	DiseasesDB
DIS006592	Bromism	967.3	ICD-9-CM
DIS003484	Bronchiectasis	000144	MedlinePlus
DIS004597	Bronchitis	001087	MedlinePlus
DIS006933	Bronchomalacia	748.3	ICD-9-CM
DIS005989	Bronchopulmonary dysplasia	001088	MedlinePlus
